"Plot Title:  10635576"
"#","Date","Time, GMT-05:00","Temp, °F (LGR S/N: 10635576, SEN S/N: 10635576, LBL:  10635576_T)","RH, % (LGR S/N: 10635576, SEN S/N: 10635576, LBL:  10635576_RH)","DewPt, °F (LGR S/N: 10635576, SEN S/N: 10635576)","Coupler Detached (LGR S/N: 10635576, SEN S/N: 10635576)","Coupler Attached (LGR S/N: 10635576, SEN S/N: 10635576)","Stopped (LGR S/N: 10635576, SEN S/N: 10635576)","End Of File (LGR S/N: 10635576, SEN S/N: 10635576)"
1,04/03/15,09:18:51,66.814,66.329,55.569,Logged,,,
2,04/03/15,09:23:51,67.757,65.857,56.282,,,,
3,04/03/15,09:28:51,67.671,65.343,55.994,,,,
4,04/03/15,09:33:51,67.199,64.344,55.141,,,,
5,04/03/15,09:38:51,68.185,64.408,56.104,,,,
6,04/03/15,09:43:51,68.142,63.025,55.492,,,,
7,04/03/15,09:48:51,68.956,61.109,55.447,,,,
8,04/03/15,09:53:51,69.643,60.411,55.791,,,,
9,04/03/15,09:58:51,70.887,57.707,55.744,,,,
10,04/03/15,10:03:51,70.974,54.933,54.509,,,,
11,04/03/15,10:08:51,72.394,54.550,55.643,,,,
12,04/03/15,10:13:51,73.126,51.095,54.563,,,,
13,04/03/15,10:18:51,73.429,51.686,55.152,,,,
14,04/03/15,10:23:51,73.515,49.098,53.847,,,,
15,04/03/15,10:28:51,75.376,47.380,54.588,,,,
16,04/03/15,10:33:51,73.299,44.477,50.988,,,,
17,04/03/15,10:38:51,72.997,43.296,49.991,,,,
18,04/03/15,10:43:51,74.206,44.375,51.750,,,,
19,04/03/15,10:48:51,74.424,44.389,51.955,,,,
20,04/03/15,10:53:51,74.554,42.422,50.848,,,,
21,04/03/15,10:58:51,76.550,41.112,51.796,,,,
22,04/03/15,11:03:51,76.158,39.777,50.549,,,,
23,04/03/15,11:08:51,74.899,40.685,50.032,,,,
24,04/03/15,11:13:51,74.250,40.580,49.379,,,,
25,04/03/15,11:18:51,76.158,38.857,49.915,,,,
26,04/03/15,11:23:51,76.158,37.736,49.123,,,,
27,04/03/15,11:28:51,76.114,40.168,50.776,,,,
28,04/03/15,11:33:51,77.160,40.034,51.620,,,,
29,04/03/15,11:38:51,76.768,38.332,50.088,,,,
30,04/03/15,11:43:51,77.292,36.939,49.548,,,,
31,04/03/15,11:48:51,78.339,37.992,51.244,,,,
32,04/03/15,11:53:51,77.945,37.738,50.711,,,,
33,04/03/15,11:58:51,78.339,36.632,50.248,,,,
34,04/03/15,12:03:51,78.822,37.422,51.260,,,,
35,04/03/15,12:08:51,78.865,36.228,50.412,,,,
36,04/03/15,12:13:51,80.184,35.397,50.940,,,,
37,04/03/15,12:18:51,80.008,34.182,49.827,,,,
38,04/03/15,12:23:51,80.008,30.676,46.868,,,,
39,04/03/15,12:28:51,80.096,30.782,47.037,,,,
40,04/03/15,12:33:51,79.435,32.877,48.261,,,,
41,04/03/15,12:38:51,78.996,33.493,48.385,,,,
42,04/03/15,12:43:51,80.713,32.704,49.231,,,,
43,04/03/15,12:48:51,79.831,33.199,48.873,,,,
44,04/03/15,12:53:51,81.421,32.435,49.622,,,,
45,04/03/15,12:58:51,80.802,28.706,45.739,,,,
46,04/03/15,13:03:51,80.361,28.959,45.601,,,,
47,04/03/15,13:08:51,80.668,29.109,46.008,,,,
48,04/03/15,13:13:51,80.978,29.294,46.445,,,,
49,04/03/15,13:18:51,81.642,30.854,48.439,,,,
50,04/03/15,13:23:51,81.154,29.880,47.140,,,,
51,04/03/15,13:28:51,82.085,29.582,47.665,,,,
52,04/03/15,13:33:51,82.486,30.213,48.591,,,,
53,04/03/15,13:38:51,82.798,27.046,45.813,,,,
54,04/03/15,13:43:51,81.819,26.902,44.836,,,,
55,04/03/15,13:48:51,82.530,26.519,45.046,,,,
56,04/03/15,13:53:51,82.042,26.224,44.326,,,,
57,04/03/15,13:58:51,81.421,27.126,44.722,,,,
58,04/03/15,14:03:51,81.997,26.704,44.784,,,,
59,04/03/15,14:08:51,83.021,26.712,45.660,,,,
60,04/03/15,14:13:51,82.841,25.637,44.382,,,,
61,04/03/15,14:18:51,82.841,26.498,45.289,,,,
62,04/03/15,14:23:51,82.308,26.442,44.778,,,,
63,04/03/15,14:28:51,82.753,26.425,45.138,,,,
64,04/03/15,14:33:51,83.779,24.810,44.272,,,,
65,04/03/15,14:38:51,83.422,25.591,44.823,,,,
66,04/03/15,14:43:51,84.542,25.289,45.441,,,,
67,04/03/15,14:48:51,84.004,25.337,45.039,,,,
68,04/03/15,14:53:51,84.362,26.905,46.999,,,,
69,04/03/15,14:58:51,83.332,26.552,45.761,,,,
70,04/03/15,15:03:51,83.511,26.181,45.525,,,,
71,04/03/15,15:08:51,83.287,25.136,44.218,,,,
72,04/03/15,15:13:51,83.914,24.226,43.731,,,,
73,04/03/15,15:18:51,84.049,22.772,42.143,,,,
74,04/03/15,15:23:51,83.154,24.059,42.904,,,,
75,04/03/15,15:28:51,83.422,25.591,44.823,,,,
76,04/03/15,15:33:51,83.601,25.943,45.349,,,,
77,04/03/15,15:38:51,82.931,25.364,44.164,,,,
78,04/03/15,15:43:51,83.779,26.295,45.873,,,,
79,04/03/15,15:48:51,84.049,26.099,45.894,,,,
80,04/03/15,15:53:51,83.601,25.356,44.721,,,,
81,04/03/15,15:58:51,83.021,25.885,44.798,,,,
82,04/03/15,16:03:51,83.199,25.582,44.625,,,,
