"Plot Title:  10635588"
"#","Date","Time, GMT-05:00","Temp, °F (LGR S/N: 10635588, SEN S/N: 10635588, LBL:  10635588_T)","RH, % (LGR S/N: 10635588, SEN S/N: 10635588, LBL:  10635588_RH)","DewPt, °F (LGR S/N: 10635588, SEN S/N: 10635588)","Coupler Detached (LGR S/N: 10635588, SEN S/N: 10635588)","Coupler Attached (LGR S/N: 10635588, SEN S/N: 10635588)","Stopped (LGR S/N: 10635588, SEN S/N: 10635588)","End Of File (LGR S/N: 10635588, SEN S/N: 10635588)"
1,06/04/15,17:54:19,75.420,68.906,64.819,Logged,,,
2,06/04/15,17:59:19,75.420,68.578,64.690,,,,
3,06/04/15,18:04:19,75.074,69.615,64.765,,,,
4,06/04/15,18:09:19,74.986,68.982,64.434,,,,
5,06/04/15,18:14:19,74.943,70.462,64.969,,,,
6,06/04/15,18:19:19,74.899,69.895,64.708,,,,
7,06/04/15,18:24:19,74.640,70.579,64.720,,,,
8,06/04/15,18:29:19,75.160,67.985,64.206,,,,
9,06/04/15,18:34:19,75.463,67.206,64.182,,,,
10,06/04/15,18:39:19,75.290,68.565,64.560,,,,
11,06/04/15,18:44:19,74.727,69.966,64.569,,,,
12,06/04/15,18:49:19,74.597,70.279,64.564,,,,
13,06/04/15,18:54:19,74.554,71.043,64.816,,,,
14,06/04/15,18:59:19,74.163,71.593,64.648,,,,
15,06/04/15,19:04:19,74.120,71.706,64.648,,,,
16,06/04/15,19:09:19,74.077,71.377,64.483,,,,
17,06/04/15,19:14:19,73.904,71.506,64.366,,,,
18,06/04/15,19:19:19,74.163,69.464,63.833,,,,
19,06/04/15,19:24:19,74.381,68.861,63.806,,,,
20,06/04/15,19:29:19,74.163,68.720,63.543,,,,
21,06/04/15,19:34:19,73.731,69.331,63.367,,,,
22,06/04/15,19:39:19,73.299,70.530,63.414,,,,
23,06/04/15,19:44:19,73.126,71.101,63.464,,,,
24,06/04/15,19:49:19,73.213,71.434,63.673,,,,
25,06/04/15,19:54:19,73.342,71.242,63.725,,,,
26,06/04/15,19:59:19,73.386,71.069,63.702,,,,
27,06/04/15,20:04:19,73.040,71.798,63.642,,,,
28,06/04/15,20:09:19,72.696,72.260,63.482,,,,
29,06/04/15,20:14:19,72.437,72.643,63.374,,,,
30,06/04/15,20:19:19,72.264,72.917,63.307,,,,
31,06/04/15,20:24:19,72.093,73.307,63.284,,,,
