"Plot Title:  10635576"
"#","Date","Time, GMT-05:00","Temp, °F (LGR S/N: 10635576, SEN S/N: 10635576, LBL:  10635576_T)","RH, % (LGR S/N: 10635576, SEN S/N: 10635576, LBL:  10635576_RH)","DewPt, °F (LGR S/N: 10635576, SEN S/N: 10635576)","Coupler Detached (LGR S/N: 10635576, SEN S/N: 10635576)","Coupler Attached (LGR S/N: 10635576, SEN S/N: 10635576)","Stopped (LGR S/N: 10635576, SEN S/N: 10635576)","End Of File (LGR S/N: 10635576, SEN S/N: 10635576)"
1,07/11/16,09:18:51,81.154,71.550,71.364,Logged,,,
2,07/11/16,09:23:51,81.288,71.324,71.404,,,,
3,07/11/16,09:28:51,81.642,71.301,71.737,,,,
4,07/11/16,09:33:51,81.376,70.945,71.341,,,,
5,07/11/16,09:38:51,81.244,71.618,71.476,,,,
6,07/11/16,09:43:51,80.361,72.360,70.912,,,,
7,07/11/16,09:48:51,81.687,70.377,71.415,,,,
8,07/11/16,09:53:51,82.441,69.250,71.688,,,,
9,07/11/16,09:58:51,81.864,69.915,71.402,,,,
10,07/11/16,10:03:51,81.730,70.262,71.413,,,,
11,07/11/16,10:08:51,81.554,69.853,71.080,,,,
12,07/11/16,10:13:51,82.085,69.606,71.490,,,,
13,07/11/16,10:18:51,83.109,69.196,72.307,,,,
14,07/11/16,10:23:51,85.667,67.229,73.938,,,,
15,07/11/16,10:28:51,83.064,67.465,71.551,,,,
16,07/11/16,10:33:51,84.227,66.877,72.415,,,,
17,07/11/16,10:38:51,85.622,63.690,72.358,,,,
18,07/11/16,10:43:51,85.622,62.482,71.812,,,,
19,07/11/16,10:48:51,87.163,62.216,73.148,,,,
20,07/11/16,10:53:51,87.528,59.619,72.270,,,,
21,07/11/16,10:58:51,86.119,61.126,71.658,,,,
22,07/11/16,11:03:51,85.622,61.425,71.326,,,,
23,07/11/16,11:08:51,86.211,60.665,71.526,,,,
24,07/11/16,11:13:51,84.767,62.746,71.123,,,,
25,07/11/16,11:18:51,84.497,62.257,70.646,,,,
26,07/11/16,11:23:51,85.622,62.575,71.856,,,,
27,07/11/16,11:28:51,86.799,61.373,72.414,,,,
28,07/11/16,11:33:51,86.437,61.185,71.983,,,,
29,07/11/16,11:38:51,85.442,62.311,71.564,,,,
30,07/11/16,11:43:51,86.437,60.779,71.793,,,,
31,07/11/16,11:48:51,87.346,59.226,71.908,,,,
32,07/11/16,11:53:51,87.118,59.615,71.881,,,,
33,07/11/16,11:58:51,86.617,60.638,71.899,,,,
34,07/11/16,12:03:51,86.891,60.223,71.958,,,,
35,07/11/16,12:08:51,88.030,59.315,72.594,,,,
36,07/11/16,12:13:51,87.620,57.576,71.353,,,,
37,07/11/16,12:18:51,87.300,56.695,70.614,,,,
38,07/11/16,12:23:51,88.579,55.876,71.389,,,,
39,07/11/16,12:28:51,90.194,53.761,71.775,,,,
40,07/11/16,12:33:51,90.936,53.367,72.250,,,,
41,07/11/16,12:38:51,89.638,53.429,71.082,,,,
42,07/11/16,12:43:51,91.963,50.103,71.361,,,,
43,07/11/16,12:48:51,91.402,52.918,72.435,,,,
44,07/11/16,12:53:51,91.308,52.523,72.131,,,,
45,07/11/16,12:58:51,90.009,52.716,71.035,,,,
