"Plot Title:  10635577"
"#","Date","Time, GMT-05:00","Temp, °F (LGR S/N: 10635577, SEN S/N: 10635577, LBL:  10635577_T)","RH, % (LGR S/N: 10635577, SEN S/N: 10635577, LBL:  10635577_RH)","DewPt, °F (LGR S/N: 10635577, SEN S/N: 10635577)","Coupler Detached (LGR S/N: 10635577, SEN S/N: 10635577)","Coupler Attached (LGR S/N: 10635577, SEN S/N: 10635577)","Stopped (LGR S/N: 10635577, SEN S/N: 10635577)","End Of File (LGR S/N: 10635577, SEN S/N: 10635577)"
1,07/12/16,15:36:38,87.436,63.080,73.801,Logged,,,
2,07/12/16,15:41:38,87.391,63.169,73.800,,,,
3,07/12/16,15:46:38,88.167,59.485,72.804,,,,
4,07/12/16,15:51:38,88.030,58.274,72.086,,,,
5,07/12/16,15:56:38,87.346,59.415,72.000,,,,
6,07/12/16,16:01:38,87.710,60.263,72.748,,,,
7,07/12/16,16:06:38,87.073,60.771,72.388,,,,
8,07/12/16,16:11:38,86.617,61.793,72.437,,,,
9,07/12/16,16:16:38,86.709,62.424,72.813,,,,
10,07/12/16,16:21:38,86.844,62.000,72.747,,,,
11,07/12/16,16:26:38,87.346,61.139,72.819,,,,
12,07/12/16,16:31:38,87.620,61.132,73.074,,,,
13,07/12/16,16:36:38,87.528,61.312,73.072,,,,
14,07/12/16,16:41:38,87.528,61.562,73.189,,,,
15,07/12/16,16:46:38,87.620,60.443,72.748,,,,
16,07/12/16,16:51:38,87.573,61.316,73.117,,,,
17,07/12/16,16:56:38,87.847,60.149,72.824,,,,
18,07/12/16,17:01:38,87.391,60.423,72.525,,,,
19,07/12/16,17:06:38,87.346,62.481,73.441,,,,
20,07/12/16,17:11:38,87.300,62.166,73.254,,,,
21,07/12/16,17:16:38,87.300,60.635,72.540,,,,
22,07/12/16,17:21:38,87.255,60.599,72.478,,,,
23,07/12/16,17:26:38,87.346,59.792,72.180,,,,
24,07/12/16,17:31:38,87.210,59.811,72.061,,,,
25,07/12/16,17:36:38,86.844,60.282,71.944,,,,
26,07/12/16,17:41:38,86.754,61.400,72.383,,,,
27,07/12/16,17:46:38,86.437,62.866,72.757,,,,
28,07/12/16,17:51:38,86.391,62.022,72.329,,,,
29,07/12/16,17:56:38,86.527,60.192,71.602,,,,
30,07/12/16,18:01:38,86.437,60.591,71.704,,,,
31,07/12/16,18:06:38,86.301,60.642,71.600,,,,
32,07/12/16,18:11:38,86.346,61.239,71.924,,,,
33,07/12/16,18:16:38,86.256,61.481,71.951,,,,
34,07/12/16,18:21:38,86.074,61.371,71.728,,,,
35,07/12/16,18:26:38,85.894,61.760,71.739,,,,
36,07/12/16,18:31:38,85.712,61.526,71.460,,,,
37,07/12/16,18:36:38,85.622,61.643,71.427,,,,
38,07/12/16,18:41:38,85.532,61.324,71.195,,,,
39,07/12/16,18:46:38,85.487,62.160,71.537,,,,
40,07/12/16,18:51:38,85.487,62.222,71.566,,,,
41,07/12/16,18:56:38,85.397,62.586,71.647,,,,
42,07/12/16,19:01:38,85.127,62.500,71.352,,,,
43,07/12/16,19:06:38,84.857,62.383,71.042,,,,
44,07/12/16,19:11:38,84.767,63.025,71.247,,,,
45,07/12/16,19:16:38,84.542,63.190,71.109,,,,
46,07/12/16,19:21:38,84.945,60.243,70.138,,,,
47,07/12/16,19:26:38,84.362,61.189,70.029,,,,
48,07/12/16,19:31:38,83.869,62.665,70.237,,,,
49,07/12/16,19:36:38,83.467,63.801,70.363,,,,
50,07/12/16,19:41:38,83.154,65.032,70.605,,,,
51,07/12/16,19:46:38,82.841,64.359,70.014,,,,
52,07/12/16,19:51:38,82.308,64.646,69.633,,,,
53,07/12/16,19:56:38,81.909,64.823,69.330,,,,
54,07/12/16,20:01:38,81.509,65.122,69.078,,,,
55,07/12/16,20:06:38,81.066,65.050,68.626,,,,
56,07/12/16,20:11:38,80.757,65.539,68.542,,,,
57,07/12/16,20:16:38,80.492,66.335,68.625,,,,
58,07/12/16,20:21:38,80.227,66.765,68.551,,,,
59,07/12/16,20:26:38,79.963,67.918,68.774,,,,
60,07/12/16,20:31:38,79.743,68.319,68.727,,,,
61,07/12/16,20:36:38,79.347,69.690,68.898,,,,
62,07/12/16,20:41:38,79.041,70.287,68.837,,,,
63,07/12/16,20:46:38,78.777,70.290,68.587,,,,
64,07/12/16,20:51:38,78.559,70.924,68.623,,,,
65,07/12/16,20:56:38,78.471,71.212,68.650,,,,
66,07/12/16,21:01:38,78.339,72.326,68.950,,,,
