"Plot Title:  10635578"
"#","Date","Time, GMT-05:00","Temp, °F (LGR S/N: 10635578, SEN S/N: 10635578, LBL:  10635578_T)","RH, % (LGR S/N: 10635578, SEN S/N: 10635578, LBL:  10635578_RH)","DewPt, °F (LGR S/N: 10635578, SEN S/N: 10635578)","Coupler Detached (LGR S/N: 10635578, SEN S/N: 10635578)","End Of File (LGR S/N: 10635578, SEN S/N: 10635578)"
1,03/16/16,17:23:19,49.116,57.408,35.163,Logged,
2,03/16/16,17:28:19,53.427,58.824,39.817,,
3,03/16/16,17:33:19,56.469,59.510,42.973,,
4,03/16/16,17:38:19,58.582,59.968,45.162,,
5,03/16/16,17:43:19,60.132,60.286,46.758,,
6,03/16/16,17:48:19,61.290,60.569,47.973,,
7,03/16/16,17:53:19,62.148,60.767,48.866,,
8,03/16/16,17:58:19,62.834,60.978,49.604,,
9,03/16/16,18:03:19,63.433,61.153,50.245,,
10,03/16/16,18:08:19,63.946,61.289,50.788,,
11,03/16/16,18:13:19,64.332,61.444,51.217,,
12,03/16/16,18:18:19,64.632,61.591,51.562,,
13,03/16/16,18:23:19,64.888,61.705,51.854,,
14,03/16/16,18:28:19,65.102,61.814,52.102,,
15,03/16/16,18:33:19,65.316,61.894,52.338,,
16,03/16/16,18:38:19,65.487,61.970,52.533,,
17,03/16/16,18:43:19,65.615,62.072,52.698,,
18,03/16/16,18:48:19,65.745,62.173,52.862,,
19,03/16/16,18:53:19,65.872,62.245,53.013,,
20,03/16/16,18:58:19,66.000,62.377,53.190,,
21,03/16/16,19:03:19,66.130,62.479,53.355,,
22,03/16/16,19:08:19,66.301,62.525,53.537,,
23,03/16/16,19:13:19,66.472,62.630,53.742,,
24,03/16/16,19:18:19,66.686,62.770,54.003,,
25,03/16/16,19:23:19,66.900,62.880,54.253,,
26,03/16/16,19:28:19,67.028,62.922,54.392,,
27,03/16/16,19:33:19,67.071,62.986,54.459,,
28,03/16/16,19:38:19,67.158,63.024,54.556,,
29,03/16/16,19:43:19,67.242,63.092,54.666,,
30,03/16/16,19:48:19,67.285,63.186,54.747,,
31,03/16/16,19:53:19,67.372,63.224,54.842,,
32,03/16/16,19:58:19,67.456,63.292,54.952,,
33,03/16/16,20:03:19,67.543,63.360,55.062,,
34,03/16/16,20:08:19,67.586,63.393,55.117,,
35,03/16/16,20:13:19,67.627,63.457,55.184,,
36,03/16/16,20:18:19,67.671,63.521,55.251,,
37,03/16/16,20:23:19,67.714,63.555,55.306,,
38,03/16/16,20:28:19,67.757,63.619,55.373,,
39,03/16/16,20:33:19,67.798,63.683,55.440,,
40,03/16/16,20:38:19,67.885,63.721,55.537,,
41,03/16/16,20:43:19,67.885,63.781,55.562,,
42,03/16/16,20:48:19,67.928,63.845,55.629,,
43,03/16/16,20:53:19,67.971,63.879,55.684,,
44,03/16/16,20:58:19,68.013,63.943,55.751,,
45,03/16/16,21:03:19,68.056,63.977,55.805,,
46,03/16/16,21:08:19,68.099,64.011,55.861,,
47,03/16/16,21:13:19,68.142,64.045,55.915,,
48,03/16/16,21:18:19,68.185,64.079,55.969,,
49,03/16/16,21:23:19,68.227,64.113,56.025,,
50,03/16/16,21:28:19,68.227,64.173,56.048,,
51,03/16/16,21:33:19,68.270,64.207,56.104,,
52,03/16/16,21:38:19,68.313,64.241,56.158,,
53,03/16/16,21:43:19,68.356,64.275,56.214,,
54,03/16/16,21:48:19,68.400,64.309,56.268,,
55,03/16/16,21:53:19,68.400,64.338,56.280,,
56,03/16/16,21:58:19,68.484,64.406,56.390,,
57,03/16/16,22:03:19,68.571,64.474,56.498,,
58,03/16/16,22:08:19,68.571,64.474,56.498,,
59,03/16/16,22:13:19,68.614,64.508,56.554,,
60,03/16/16,22:18:19,68.614,64.538,56.565,,
61,03/16/16,22:23:19,68.657,64.572,56.620,,
62,03/16/16,22:28:19,68.657,64.572,56.620,,
63,03/16/16,22:33:19,68.657,64.602,56.633,,
64,03/16/16,22:38:19,68.698,64.606,56.674,,
65,03/16/16,22:43:19,68.742,64.640,56.730,,
66,03/16/16,22:48:19,68.742,64.670,56.741,,
67,03/16/16,22:53:19,68.742,64.670,56.741,,
68,03/16/16,22:58:19,68.785,64.674,56.784,,
69,03/16/16,23:03:19,68.828,64.708,56.838,,
70,03/16/16,23:08:19,68.871,64.772,56.907,,
71,03/16/16,23:13:19,68.913,64.776,56.948,,
72,03/16/16,23:18:19,68.956,64.810,57.002,,
73,03/16/16,23:23:19,68.956,64.810,57.002,,
74,03/16/16,23:28:19,68.913,64.866,56.984,,
75,03/16/16,23:33:19,68.913,64.896,56.997,,
76,03/16/16,23:38:19,68.871,64.921,56.966,,
77,03/16/16,23:43:19,68.871,64.951,56.979,,
78,03/16/16,23:48:19,68.828,64.977,56.948,,
79,03/16/16,23:53:19,68.828,65.007,56.961,,
