"Plot Title:  10635594"
"#","Date","Time, GMT-05:00","Temp, °F (LGR S/N: 10635594, SEN S/N: 10635594, LBL:  10635594_T)","RH, % (LGR S/N: 10635594, SEN S/N: 10635594, LBL:  10635594_RH)","DewPt, °F (LGR S/N: 10635594, SEN S/N: 10635594)","Coupler Detached (LGR S/N: 10635594, SEN S/N: 10635594)","Coupler Attached (LGR S/N: 10635594, SEN S/N: 10635594)","Stopped (LGR S/N: 10635594, SEN S/N: 10635594)","End Of File (LGR S/N: 10635594, SEN S/N: 10635594)"
1,05/20/16,13:28:28,64.375,94.869,62.371,Logged,,,
2,05/20/16,13:33:28,64.074,94.669,62.019,,,,
3,05/20/16,13:38:28,64.161,94.681,62.107,,,,
4,05/20/16,13:43:28,64.332,94.811,62.312,,,,
5,05/20/16,13:48:28,64.845,94.937,62.859,,,,
6,05/20/16,13:53:28,64.503,94.704,62.456,,,,
7,05/20/16,13:58:28,64.888,94.759,62.856,,,,
8,05/20/16,14:03:28,65.017,94.594,62.940,,,,
9,05/20/16,14:08:28,65.359,94.564,63.273,,,,
10,05/20/16,14:13:28,65.145,94.244,62.974,,,,
11,05/20/16,14:18:28,65.359,94.380,63.225,,,,
12,05/20/16,14:23:28,65.059,94.021,62.830,,,,
13,05/20/16,14:28:28,65.102,94.606,63.028,,,,
14,05/20/16,14:33:28,64.888,94.418,62.764,,,,
15,05/20/16,14:38:28,65.145,94.402,63.018,,,,
16,05/20/16,14:43:28,65.273,94.315,63.122,,,,
17,05/20/16,14:48:28,65.316,94.268,63.153,,,,
18,05/20/16,14:53:28,65.403,94.281,63.241,,,,
19,05/20/16,14:58:28,65.273,94.104,63.066,,,,
20,05/20/16,15:03:28,65.658,94.264,63.493,,,,
21,05/20/16,15:08:28,65.788,93.993,63.549,,,,
22,05/20/16,15:13:28,65.658,93.789,63.367,,,,
23,05/20/16,15:18:28,65.444,93.733,63.138,,,,
24,05/20/16,15:23:28,65.574,93.804,63.284,,,,
25,05/20/16,15:28:28,65.403,93.595,63.057,,,,
26,05/20/16,15:33:28,65.403,93.832,63.122,,,,
27,05/20/16,15:38:28,65.316,94.216,63.138,,,,
28,05/20/16,15:43:28,65.273,94.236,63.100,,,,
29,05/20/16,15:48:28,65.017,94.278,62.856,,,,
30,05/20/16,15:53:28,65.230,94.256,63.064,,,,
31,05/20/16,15:58:28,65.230,94.098,63.021,,,,
32,05/20/16,16:03:28,65.615,94.100,63.406,,,,
33,05/20/16,16:08:28,65.788,93.702,63.471,,,,
34,05/20/16,16:13:28,65.658,93.419,63.266,,,,
35,05/20/16,16:18:28,65.701,93.372,63.297,,,,
36,05/20/16,16:23:28,65.788,92.881,63.250,,,,
37,05/20/16,16:28:28,65.829,93.125,63.358,,,,
38,05/20/16,16:33:28,66.000,92.804,63.442,,,,
39,05/20/16,16:38:28,65.916,92.660,63.316,,,,
40,05/20/16,16:43:28,66.087,92.843,63.538,,,,
41,05/20/16,16:48:28,65.872,92.866,63.331,,,,
42,05/20/16,16:53:28,65.829,92.834,63.279,,,,
43,05/20/16,16:58:28,65.788,92.801,63.228,,,,
44,05/20/16,17:03:28,65.829,92.913,63.300,,,,
45,05/20/16,17:08:28,65.788,92.907,63.257,,,,
46,05/20/16,17:13:28,66.043,92.864,63.500,,,,
47,05/20/16,17:18:28,65.916,92.660,63.316,,,,
48,05/20/16,17:23:28,66.087,92.949,63.567,,,,
49,05/20/16,17:28:28,66.258,92.707,63.671,,,,
50,05/20/16,17:33:28,66.301,92.660,63.702,,,,
51,05/20/16,17:38:28,66.087,92.763,63.516,,,,
52,05/20/16,17:43:28,66.087,92.923,63.559,,,,
53,05/20/16,17:48:28,66.087,92.870,63.545,,,,
54,05/20/16,17:53:28,65.959,92.931,63.433,,,,
55,05/20/16,17:58:28,65.829,93.152,63.365,,,,
56,05/20/16,18:03:28,65.658,93.472,63.280,,,,
57,05/20/16,18:08:28,66.429,92.519,63.790,,,,
58,05/20/16,18:13:28,65.574,93.248,63.135,,,,
59,05/20/16,18:18:28,65.444,93.759,63.145,,,,
60,05/20/16,18:23:28,65.745,93.986,63.504,,,,
61,05/20/16,18:28:28,65.959,93.885,63.691,,,,
62,05/20/16,18:33:28,66.087,94.009,63.851,,,,
63,05/20/16,18:38:28,65.916,94.064,63.696,,,,
64,05/20/16,18:43:28,65.701,94.139,63.502,,,,
65,05/20/16,18:48:28,65.615,94.232,63.442,,,,
66,05/20/16,18:53:28,65.658,94.528,63.563,,,,
67,05/20/16,18:58:28,65.530,94.668,63.471,,,,
68,05/20/16,19:03:28,65.574,94.779,63.543,,,,
69,05/20/16,19:08:28,65.403,94.754,63.367,,,,
70,05/20/16,19:13:28,65.403,94.859,63.394,,,,
71,05/20/16,19:18:28,65.273,94.946,63.289,,,,
72,05/20/16,19:23:28,65.230,95.045,63.271,,,,
73,05/20/16,19:28:28,65.188,95.170,63.262,,,,
74,05/20/16,19:33:28,65.059,95.178,63.136,,,,
75,05/20/16,19:38:28,64.974,95.218,63.061,,,,
76,05/20/16,19:43:28,64.974,95.323,63.088,,,,
77,05/20/16,19:48:28,64.888,95.415,63.027,,,,
78,05/20/16,19:53:28,64.760,95.501,62.920,,,,
79,05/20/16,19:58:28,64.632,95.561,62.809,,,,
80,05/20/16,20:03:28,64.632,95.692,62.841,,,,
81,05/20/16,20:08:28,64.503,95.673,62.708,,,,
82,05/20/16,20:13:28,64.418,95.843,62.667,,,,
83,05/20/16,20:18:28,64.375,95.811,62.616,,,,
84,05/20/16,20:23:28,64.288,95.955,62.568,,,,
85,05/20/16,20:28:28,64.288,95.981,62.575,,,,
86,05/20/16,20:33:28,64.204,95.942,62.479,,,,
87,05/20/16,20:38:28,64.161,96.093,62.474,,,,
88,05/20/16,20:43:28,64.074,96.132,62.400,,,,
89,05/20/16,20:48:28,63.946,96.218,62.292,,,,
90,05/20/16,20:53:28,64.033,96.282,62.395,,,,
91,05/20/16,20:58:28,63.990,96.276,62.350,,,,
92,05/20/16,21:03:28,63.862,96.413,62.258,,,,
93,05/20/16,21:08:28,63.689,96.466,62.100,,,,
94,05/20/16,21:13:28,63.604,96.557,62.037,,,,
95,05/20/16,21:18:28,63.518,96.622,61.968,,,,
96,05/20/16,21:23:28,63.475,96.772,61.963,,,,
97,05/20/16,21:28:28,63.262,96.844,61.767,,,,
98,05/20/16,21:33:28,63.304,96.902,61.824,,,,
99,05/20/16,21:38:28,63.304,96.954,61.839,,,,
100,05/20/16,21:43:28,63.262,96.947,61.794,,,,
101,05/20/16,21:48:28,63.176,97.090,61.743,,,,
102,05/20/16,21:53:28,63.090,97.077,61.655,,,,
103,05/20/16,21:58:28,63.048,97.174,61.637,,,,
104,05/20/16,22:03:28,63.005,97.220,61.605,,,,
105,05/20/16,22:08:28,63.005,97.375,61.644,,,,
106,05/20/16,22:13:28,62.962,97.420,61.612,,,,
107,05/20/16,22:18:28,63.005,97.426,61.657,,,,
108,05/20/16,22:23:28,62.834,97.401,61.479,,,,
109,05/20/16,22:28:28,62.919,97.414,61.569,,,,
110,05/20/16,22:33:28,62.919,97.491,61.588,,,,
111,05/20/16,22:38:28,62.875,97.536,61.556,,,,
112,05/20/16,22:43:28,62.875,97.588,61.569,,,,
