"Plot Title:  10635596"
"#","Date","Time, GMT-05:00","Temp, °F (LGR S/N: 10635596, SEN S/N: 10635596, LBL:  10635596_T)","RH, % (LGR S/N: 10635596, SEN S/N: 10635596, LBL:  10635596_RH)","DewPt, °F (LGR S/N: 10635596, SEN S/N: 10635596)","Coupler Detached (LGR S/N: 10635596, SEN S/N: 10635596)","Coupler Attached (LGR S/N: 10635596, SEN S/N: 10635596)","Stopped (LGR S/N: 10635596, SEN S/N: 10635596)","End Of File (LGR S/N: 10635596, SEN S/N: 10635596)"
1,05/01/17,12:50:00,67.242,56.510,51.771,Logged,,,
2,05/01/17,12:55:00,68.270,56.872,52.903,,,,
3,05/01/17,13:00:00,68.013,54.725,51.647,,,,
4,05/01/17,13:05:00,68.785,55.406,52.693,,,,
5,05/01/17,13:10:00,68.742,53.917,51.933,,,,
6,05/01/17,13:15:00,68.400,53.144,51.233,,,,
7,05/01/17,13:20:00,68.527,54.086,51.816,,,,
8,05/01/17,13:25:00,68.142,51.941,50.391,,,,
9,05/01/17,13:30:00,68.657,52.355,51.076,,,,
10,05/01/17,13:35:00,69.814,51.881,51.908,,,,
11,05/01/17,13:40:00,70.887,51.462,52.686,,,,
12,05/01/17,13:45:00,71.704,49.790,52.558,,,,
13,05/01/17,13:50:00,70.416,46.653,49.638,,,,
14,05/01/17,13:55:00,70.416,47.988,50.389,,,,
15,05/01/17,14:00:00,71.317,46.715,50.499,,,,
16,05/01/17,14:05:00,72.264,46.621,51.309,,,,
17,05/01/17,14:10:00,71.748,46.745,50.909,,,,
18,05/01/17,14:15:00,70.759,47.059,50.182,,,,
19,05/01/17,14:20:00,71.017,47.586,50.715,,,,
20,05/01/17,14:25:00,71.404,47.740,51.156,,,,
21,05/01/17,14:30:00,71.447,46.947,50.749,,,,
22,05/01/17,14:35:00,71.447,46.724,50.621,,,,
23,05/01/17,14:40:00,71.748,46.649,50.853,,,,
24,05/01/17,14:45:00,72.783,47.646,52.365,,,,
25,05/01/17,14:50:00,73.126,46.936,52.277,,,,
26,05/01/17,14:55:00,73.645,44.693,51.433,,,,
27,05/01/17,15:00:00,73.386,45.415,51.627,,,,
28,05/01/17,15:05:00,73.040,43.783,50.331,,,,
29,05/01/17,15:10:00,73.515,43.296,50.461,,,,
30,05/01/17,15:15:00,74.467,41.636,50.266,,,,
31,05/01/17,15:20:00,74.295,41.137,49.786,,,,
32,05/01/17,15:25:00,74.727,39.431,49.032,,,,
33,05/01/17,15:30:00,74.206,39.531,48.636,,,,
34,05/01/17,15:35:00,74.943,38.853,48.828,,,,
35,05/01/17,15:40:00,75.204,39.393,49.433,,,,
36,05/01/17,15:45:00,74.813,39.436,49.113,,,,
37,05/01/17,15:50:00,74.467,39.612,48.924,,,,
38,05/01/17,15:55:00,74.727,40.347,49.653,,,,
39,05/01/17,16:00:00,74.597,40.143,49.399,,,,
40,05/01/17,16:05:00,74.381,40.947,49.739,,,,
41,05/01/17,16:10:00,74.250,41.135,49.744,,,,
42,05/01/17,16:15:00,74.511,41.769,50.391,,,,
43,05/01/17,16:20:00,74.554,41.414,50.200,,,,
44,05/01/17,16:25:00,74.511,42.679,50.972,,,,
45,05/01/17,16:30:00,74.640,42.493,50.972,,,,
46,05/01/17,16:35:00,74.077,43.041,50.810,,,,
47,05/01/17,16:40:00,74.034,43.685,51.170,,,,
48,05/01/17,16:45:00,74.295,44.187,51.714,,,,
49,05/01/17,16:50:00,74.511,43.910,51.741,,,,
50,05/01/17,16:55:00,74.597,43.948,51.841,,,,
51,05/01/17,17:00:00,74.467,44.489,52.054,,,,
52,05/01/17,17:05:00,74.899,44.969,52.738,,,,
53,05/01/17,17:10:00,74.683,44.697,52.378,,,,
54,05/01/17,17:15:00,74.640,42.720,51.116,,,,
55,05/01/17,17:20:00,74.813,42.958,51.422,,,,
56,05/01/17,17:25:00,74.424,43.872,51.638,,,,
57,05/01/17,17:30:00,74.640,42.590,51.033,,,,
58,05/01/17,17:35:00,74.899,40.783,50.097,,,,
59,05/01/17,17:40:00,74.770,40.121,49.539,,,,
