"Plot Title:  10870882"
"#","Date","Time, GMT-05:00","Temp, °F (LGR S/N: 10870882, SEN S/N: 10870882)","RH, % (LGR S/N: 10870882, SEN S/N: 10870882)","DewPt, °F (LGR S/N: 10870882, SEN S/N: 10870882)","Coupler Detached (LGR S/N: 10870882, SEN S/N: 10870882)","Coupler Attached (LGR S/N: 10870882, SEN S/N: 10870882)","Stopped (LGR S/N: 10870882, SEN S/N: 10870882)","End Of File (LGR S/N: 10870882, SEN S/N: 10870882)"
1,05/02/17,09:05:00,63.304,52.745,46.303,Logged,,,
2,05/02/17,09:10:00,63.090,52.296,45.883,,,,
3,05/02/17,09:15:00,63.903,50.964,45.972,,,,
4,05/02/17,09:20:00,63.990,50.535,45.831,,,,
5,05/02/17,09:25:00,64.247,50.367,45.982,,,,
6,05/02/17,09:30:00,64.074,49.668,45.462,,,,
7,05/02/17,09:35:00,65.230,48.061,45.671,,,,
8,05/02/17,09:40:00,65.059,48.363,45.676,,,,
9,05/02/17,09:45:00,65.745,44.426,44.094,,,,
10,05/02/17,09:50:00,66.130,44.069,44.235,,,,
11,05/02/17,09:55:00,66.214,42.989,43.664,,,,
12,05/02/17,10:00:00,66.301,42.546,43.473,,,,
13,05/02/17,10:05:00,66.600,41.923,43.358,,,,
14,05/02/17,10:10:00,66.558,40.568,42.463,,,,
15,05/02/17,10:15:00,67.242,42.991,44.596,,,,
16,05/02/17,10:20:00,67.114,41.666,43.660,,,,
17,05/02/17,10:25:00,67.798,42.127,44.568,,,,
18,05/02/17,10:30:00,67.627,41.085,43.758,,,,
19,05/02/17,10:35:00,68.227,41.574,44.607,,,,
20,05/02/17,10:40:00,68.657,40.243,44.137,,,,
21,05/02/17,10:45:00,68.614,37.246,42.067,,,,
22,05/02/17,10:50:00,68.913,37.688,42.645,,,,
23,05/02/17,10:55:00,69.129,36.620,42.080,,,,
24,05/02/17,11:00:00,69.471,35.654,41.682,,,,
25,05/02/17,11:05:00,69.814,35.146,41.607,,,,
26,05/02/17,11:10:00,69.557,35.099,41.346,,,,
27,05/02/17,11:15:00,70.072,34.400,41.270,,,,
28,05/02/17,11:20:00,70.243,35.498,42.249,,,,
29,05/02/17,11:25:00,70.502,34.357,41.616,,,,
30,05/02/17,11:30:00,70.372,35.175,42.121,,,,
31,05/02/17,11:35:00,70.329,35.898,42.620,,,,
32,05/02/17,11:40:00,70.930,36.983,43.939,,,,
33,05/02/17,11:45:00,71.060,35.212,42.757,,,,
34,05/02/17,11:50:00,70.759,33.940,41.520,,,,
35,05/02/17,11:55:00,71.577,32.620,41.189,,,,
36,05/02/17,12:00:00,71.704,34.022,42.415,,,,
37,05/02/17,12:05:00,72.351,32.225,41.542,,,,
38,05/02/17,12:10:00,71.964,33.139,41.945,,,,
39,05/02/17,12:15:00,72.567,32.169,41.684,,,,
40,05/02/17,12:20:00,73.040,32.726,42.555,,,,
41,05/02/17,12:25:00,73.299,29.859,40.343,,,,
42,05/02/17,12:30:00,73.083,30.420,40.651,,,,
43,05/02/17,12:35:00,73.861,29.548,40.550,,,,
44,05/02/17,12:40:00,74.554,28.465,40.152,,,,
45,05/02/17,12:45:00,74.424,28.696,40.257,,,,
46,05/02/17,12:50:00,73.731,28.496,39.477,,,,
47,05/02/17,12:55:00,75.029,32.692,44.263,,,,
48,05/02/17,13:00:00,75.160,28.255,40.474,,,,
49,05/02/17,13:05:00,75.160,27.576,39.828,,,,
50,05/02/17,13:10:00,76.246,26.466,39.655,,,,
51,05/02/17,13:15:00,77.117,27.184,41.113,,,,
52,05/02/17,13:20:00,76.507,25.418,38.797,,,,
53,05/02/17,13:25:00,77.160,27.900,41.850,,,,
54,05/02/17,13:30:00,77.421,27.026,41.218,,,,
55,05/02/17,13:35:00,77.072,27.727,41.607,,,,
56,05/02/17,13:40:00,78.251,26.993,41.891,,,,
57,05/02/17,13:45:00,78.514,24.227,39.202,,,,
58,05/02/17,13:50:00,76.636,24.155,37.544,,,,
59,05/02/17,13:55:00,76.681,24.431,37.884,,,,
60,05/02/17,14:00:00,77.902,23.515,37.888,,,,
61,05/02/17,14:05:00,78.602,23.541,38.503,,,,
62,05/02/17,14:10:00,79.480,21.567,36.876,,,,
63,05/02/17,14:15:00,77.639,23.023,37.101,,,,
64,05/02/17,14:20:00,77.596,21.570,35.321,,,,
65,05/02/17,14:25:00,77.596,21.985,35.830,,,,
66,05/02/17,14:30:00,78.733,22.026,36.824,,,,
67,05/02/17,14:35:00,78.471,22.570,37.261,,,,
68,05/02/17,14:40:00,78.996,24.314,39.704,,,,
69,05/02/17,14:45:00,79.876,23.796,39.859,,,,
70,05/02/17,14:50:00,78.296,23.599,38.313,,,,
71,05/02/17,14:55:00,79.831,22.827,38.700,,,,
72,05/02/17,15:00:00,78.953,22.933,38.091,,,,
73,05/02/17,15:05:00,79.788,24.414,40.478,,,,
74,05/02/17,15:10:00,78.822,23.273,38.379,,,,
75,05/02/17,15:15:00,79.041,24.178,39.589,,,,
76,05/02/17,15:20:00,79.788,23.517,39.466,,,,
77,05/02/17,15:25:00,79.831,22.654,38.494,,,,
78,05/02/17,15:30:00,80.184,22.840,39.007,,,,
79,05/02/17,15:35:00,80.625,23.064,39.639,,,,
80,05/02/17,15:40:00,80.713,22.512,39.058,,,,
81,05/02/17,15:45:00,80.625,22.266,38.687,,,,
82,05/02/17,15:50:00,79.261,23.083,38.523,,,,
83,05/02/17,15:55:00,79.788,23.240,39.146,,,,
84,05/02/17,16:00:00,79.084,22.661,37.881,,,,
85,05/02/17,16:05:00,79.567,23.025,38.712,,,,
86,05/02/17,16:10:00,80.184,23.324,39.574,,,,
87,05/02/17,16:15:00,80.184,23.082,39.294,,,,
88,05/02/17,16:20:00,79.041,24.454,39.895,,,,
89,05/02/17,16:25:00,80.096,25.733,42.163,,,,
90,05/02/17,16:30:00,81.597,23.584,41.058,,,,
91,05/02/17,16:35:00,80.051,23.285,39.420,,,,
92,05/02/17,16:40:00,79.963,24.524,40.748,,,,
93,05/02/17,16:45:00,80.713,23.309,39.999,,,,
94,05/02/17,16:50:00,79.567,22.817,38.467,,,,
95,05/02/17,16:55:00,79.524,25.023,40.923,,,,
96,05/02/17,17:00:00,81.199,22.877,39.897,,,,
