"Plot Title: 10884500"
"#","Date","Time, GMT-05:00","Temp, °F (LGR S/N: 10884500, SEN S/N: 10884500)","RH, % (LGR S/N: 10884500, SEN S/N: 10884500)","DewPt, °F (LGR S/N: 10884500, SEN S/N: 10884500)","Coupler Detached (LGR S/N: 10884500, SEN S/N: 10884500)","Coupler Attached (LGR S/N: 10884500, SEN S/N: 10884500)","Stopped (LGR S/N: 10884500, SEN S/N: 10884500)","End Of File (LGR S/N: 10884500, SEN S/N: 10884500)"
1,05/01/17,14:25:00,71.447,46.341,50.401,Logged,,,
2,05/01/17,14:30:00,72.351,46.083,51.076,,,,
3,05/01/17,14:35:00,72.264,44.569,50.104,,,,
4,05/01/17,14:40:00,71.404,45.315,49.764,,,,
5,05/01/17,14:45:00,71.791,45.116,50.000,,,,
6,05/01/17,14:50:00,72.351,41.765,48.445,,,,
7,05/01/17,14:55:00,72.912,43.968,50.326,,,,
8,05/01/17,15:00:00,73.126,44.143,50.628,,,,
9,05/01/17,15:05:00,72.955,44.229,50.524,,,,
10,05/01/17,15:10:00,73.947,43.162,50.769,,,,
11,05/01/17,15:15:00,75.942,43.030,52.486,,,,
12,05/01/17,15:20:00,75.376,38.615,49.048,,,,
13,05/01/17,15:25:00,75.029,39.711,49.494,,,,
14,05/01/17,15:30:00,74.206,38.777,48.119,,,,
15,05/01/17,15:35:00,74.597,38.570,48.322,,,,
16,05/01/17,15:40:00,74.034,39.161,48.229,,,,
17,05/01/17,15:45:00,75.724,39.850,50.211,,,,
18,05/01/17,15:50:00,75.724,38.898,49.555,,,,
19,05/01/17,15:55:00,74.034,39.325,48.340,,,,
20,05/01/17,16:00:00,74.338,38.818,48.263,,,,
21,05/01/17,16:05:00,73.990,40.075,48.810,,,,
22,05/01/17,16:10:00,74.727,40.968,50.063,,,,
23,05/01/17,16:15:00,76.419,41.104,51.674,,,,
24,05/01/17,16:20:00,77.203,41.119,52.387,,,,
25,05/01/17,16:25:00,76.028,40.262,50.761,,,,
26,05/01/17,16:30:00,75.681,40.208,50.414,,,,
27,05/01/17,16:35:00,74.295,41.626,50.104,,,,
28,05/01/17,16:40:00,74.467,41.897,50.434,,,,
29,05/01/17,16:45:00,75.204,42.853,51.708,,,,
30,05/01/17,16:50:00,76.332,42.208,52.317,,,,
31,05/01/17,16:55:00,76.681,41.708,52.306,,,,
32,05/01/17,17:00:00,75.376,41.725,51.143,,,,
33,05/01/17,17:05:00,75.290,42.501,51.564,,,,
34,05/01/17,17:10:00,75.551,41.606,51.222,,,,
35,05/01/17,17:15:00,75.333,42.536,51.625,,,,
36,05/01/17,17:20:00,76.419,40.580,51.325,,,,
37,05/01/17,17:25:00,75.942,37.625,48.850,,,,
38,05/01/17,17:30:00,75.681,38.105,48.961,,,,
39,05/01/17,17:35:00,75.810,39.034,49.728,,,,
40,05/01/17,17:40:00,75.376,34.112,45.709,,,,
41,05/01/17,17:45:00,75.290,34.507,45.941,,,,
42,05/01/17,17:50:00,75.117,35.959,46.897,,,,
43,05/01/17,17:55:00,74.899,37.204,47.620,,,,
44,05/01/17,18:00:00,74.597,37.978,47.907,,,,
45,05/01/17,18:05:00,74.467,37.509,47.457,,,,
46,05/01/17,18:10:00,74.338,38.095,47.757,,,,
47,05/01/17,18:15:00,74.424,35.822,46.182,,,,
48,05/01/17,18:20:00,74.250,36.078,46.220,,,,
49,05/01/17,18:25:00,73.990,37.087,46.731,,,,
50,05/01/17,18:30:00,73.429,38.437,47.188,,,,
51,05/01/17,18:35:00,73.688,35.948,45.628,,,,
52,05/01/17,18:40:00,73.170,36.745,45.754,,,,
53,05/01/17,18:45:00,73.299,33.539,43.434,,,,
54,05/01/17,18:50:00,73.170,33.865,43.578,,,,
55,05/01/17,18:55:00,72.696,34.604,43.736,,,,
56,05/01/17,19:00:00,72.480,34.493,43.461,,,,
57,05/01/17,19:05:00,72.307,34.882,43.606,,,,
58,05/01/17,19:10:00,72.136,33.878,42.679,,,,
59,05/01/17,19:15:00,72.050,33.209,42.076,,,,
60,05/01/17,19:20:00,71.834,32.866,41.612,,,,
61,05/01/17,19:25:00,71.490,33.314,41.670,,,,
62,05/01/17,19:30:00,71.103,33.560,41.524,,,,
63,05/01/17,19:35:00,70.630,34.397,41.758,,,,
64,05/01/17,19:40:00,70.201,35.364,42.111,,,,
65,05/01/17,19:45:00,69.600,36.187,42.186,,,,
66,05/01/17,19:50:00,69.343,36.403,42.114,,,,
67,05/01/17,19:55:00,69.386,36.503,42.224,,,,
68,05/01/17,20:00:00,68.698,37.414,42.262,,,,
69,05/01/17,20:05:00,68.657,37.379,42.201,,,,
70,05/01/17,20:10:00,67.798,38.113,41.945,,,,
71,05/01/17,20:15:00,67.285,39.188,42.213,,,,
72,05/01/17,20:20:00,68.270,37.423,41.887,,,,
73,05/01/17,20:25:00,68.227,38.008,42.255,,,,
74,05/01/17,20:30:00,67.372,39.323,42.381,,,,
75,05/01/17,20:35:00,66.814,40.099,42.391,,,,
76,05/01/17,20:40:00,67.028,40.274,42.697,,,,
77,05/01/17,20:45:00,66.385,40.622,42.345,,,,
78,05/01/17,20:50:00,66.344,41.006,42.552,,,,
79,05/01/17,20:55:00,67.028,39.886,42.444,,,,
80,05/01/17,21:00:00,66.900,39.425,42.026,,,,
81,05/01/17,21:05:00,66.600,40.312,42.337,,,,
82,05/01/17,21:10:00,66.000,40.985,42.229,,,,
83,05/01/17,21:15:00,66.729,38.961,41.563,,,,
84,05/01/17,21:20:00,67.114,37.846,41.151,,,,
85,05/01/17,21:25:00,67.158,37.556,40.989,,,,
86,05/01/17,21:30:00,66.772,38.282,41.144,,,,
87,05/01/17,21:35:00,66.643,38.145,40.935,,,,
88,05/01/17,21:40:00,66.729,37.564,40.613,,,,
89,05/01/17,21:45:00,65.916,39.140,40.955,,,,
90,05/01/17,21:50:00,65.916,39.140,40.955,,,,
91,05/01/17,21:55:00,65.403,39.917,41.005,,,,
92,05/01/17,22:00:00,64.760,40.137,40.572,,,,
93,05/01/17,22:05:00,64.931,40.340,40.856,,,,
94,05/01/17,22:10:00,64.589,40.577,40.699,,,,
95,05/01/17,22:15:00,63.990,41.759,40.901,,,,
96,05/01/17,22:20:00,64.117,41.895,41.101,,,,
97,05/01/17,22:25:00,64.288,41.585,41.063,,,,
98,05/01/17,22:30:00,64.033,42.018,41.099,,,,
99,05/01/17,22:35:00,63.176,42.921,40.872,,,,
100,05/01/17,22:40:00,63.347,43.314,41.261,,,,
101,05/01/17,22:45:00,63.390,43.221,41.245,,,,
102,05/01/17,22:50:00,63.176,43.493,41.212,,,,
103,05/01/17,22:55:00,62.406,43.887,40.744,,,,
104,05/01/17,23:00:00,61.804,45.018,40.851,,,,
105,05/01/17,23:05:00,61.290,45.393,40.593,,,,
106,05/01/17,23:10:00,61.032,45.974,40.683,,,,
107,05/01/17,23:15:00,60.948,46.596,40.948,,,,
108,05/01/17,23:20:00,60.861,47.091,41.139,,,,
109,05/01/17,23:25:00,60.647,47.827,41.337,,,,
110,05/01/17,23:30:00,61.590,46.829,41.664,,,,
111,05/01/17,23:35:00,62.062,45.887,41.576,,,,
