"Plot Title:  10884513"
"#","Date","Time, GMT-05:00","Temp, °F (LGR S/N: 10884513, SEN S/N: 10884513)","RH, % (LGR S/N: 10884513, SEN S/N: 10884513)","DewPt, °F (LGR S/N: 10884513, SEN S/N: 10884513)","Coupler Detached (LGR S/N: 10884513, SEN S/N: 10884513)","Coupler Attached (LGR S/N: 10884513, SEN S/N: 10884513)","End Of File (LGR S/N: 10884513, SEN S/N: 10884513)"
1,05/03/17,09:20:00,69.427,56.014,53.584,Logged,,
2,05/03/17,09:25:00,69.771,54.836,53.341,,,
3,05/03/17,09:30:00,70.459,52.400,52.770,,,
4,05/03/17,09:35:00,71.447,50.150,52.513,,,
5,05/03/17,09:40:00,72.136,44.078,49.690,,,
6,05/03/17,09:45:00,72.653,44.177,50.220,,,
7,05/03/17,09:50:00,72.826,45.602,51.228,,,
8,05/03/17,09:55:00,73.256,45.182,51.372,,,
9,05/03/17,10:00:00,75.029,42.257,51.174,,,
10,05/03/17,10:05:00,76.203,38.300,49.563,,,
11,05/03/17,10:10:00,75.985,36.337,47.946,,,
12,05/03/17,10:15:00,75.681,36.851,48.056,,,
13,05/03/17,10:20:00,76.419,38.543,49.928,,,
14,05/03/17,10:25:00,76.203,38.102,49.422,,,
15,05/03/17,10:30:00,76.681,37.568,49.465,,,
16,05/03/17,10:35:00,76.768,36.513,48.771,,,
17,05/03/17,10:40:00,76.681,36.574,48.738,,,
18,05/03/17,10:45:00,76.375,34.563,46.940,,,
19,05/03/17,10:50:00,76.332,35.094,47.313,,,
20,05/03/17,10:55:00,76.768,37.506,49.498,,,
21,05/03/17,11:00:00,76.636,37.334,49.257,,,
22,05/03/17,11:05:00,76.419,37.421,49.127,,,
23,05/03/17,11:10:00,76.942,34.559,47.435,,,
24,05/03/17,11:15:00,77.553,32.750,46.513,,,
25,05/03/17,11:20:00,77.203,35.606,48.474,,,
26,05/03/17,11:25:00,76.986,35.028,47.838,,,
27,05/03/17,11:30:00,77.029,34.531,47.489,,,
28,05/03/17,11:35:00,77.292,34.611,47.781,,,
29,05/03/17,11:40:00,78.471,31.516,46.270,,,
30,05/03/17,11:45:00,78.514,31.451,46.252,,,
31,05/03/17,11:50:00,78.690,30.919,45.941,,,
32,05/03/17,11:55:00,78.514,30.369,45.304,,,
33,05/03/17,12:00:00,78.645,29.461,44.595,,,
34,05/03/17,12:05:00,78.339,30.124,44.933,,,
35,05/03/17,12:10:00,78.602,31.185,46.098,,,
36,05/03/17,12:15:00,78.996,30.866,46.161,,,
37,05/03/17,12:20:00,78.777,33.214,47.964,,,
38,05/03/17,12:25:00,79.392,32.437,47.856,,,
39,05/03/17,12:30:00,80.361,31.065,47.518,,,
40,05/03/17,12:35:00,80.404,31.338,47.795,,,
41,05/03/17,12:40:00,80.184,30.175,46.571,,,
42,05/03/17,12:45:00,80.361,30.726,47.217,,,
43,05/03/17,12:50:00,80.139,29.290,45.721,,,
44,05/03/17,12:55:00,80.096,31.594,47.748,,,
45,05/03/17,13:00:00,80.802,30.442,47.345,,,
46,05/03/17,13:05:00,81.023,29.398,46.580,,,
47,05/03/17,13:10:00,81.023,31.300,48.297,,,
48,05/03/17,13:15:00,80.978,29.804,46.918,,,
49,05/03/17,13:20:00,81.687,28.814,46.602,,,
50,05/03/17,13:25:00,82.486,28.712,47.190,,,
51,05/03/17,13:30:00,82.575,27.895,46.472,,,
52,05/03/17,13:35:00,83.736,29.143,48.672,,,
53,05/03/17,13:40:00,83.556,27.868,47.284,,,
54,05/03/17,13:45:00,83.556,27.250,46.665,,,
55,05/03/17,13:50:00,83.242,27.649,46.798,,,
56,05/03/17,13:55:00,82.708,27.660,46.353,,,
57,05/03/17,14:00:00,82.530,27.001,45.540,,,
58,05/03/17,14:05:00,82.575,27.346,45.927,,,
59,05/03/17,14:10:00,82.530,27.069,45.610,,,
60,05/03/17,14:15:00,83.422,28.548,47.833,,,
61,05/03/17,14:20:00,83.287,27.856,47.043,,,
62,05/03/17,14:25:00,83.287,28.405,47.581,,,
63,05/03/17,14:30:00,83.199,28.607,47.698,,,
64,05/03/17,14:35:00,83.021,28.872,47.800,,,
65,05/03/17,14:40:00,82.708,28.790,47.455,,,
66,05/03/17,14:45:00,82.620,28.342,46.947,,,
67,05/03/17,14:50:00,82.931,29.961,48.744,,,
68,05/03/17,14:55:00,82.976,29.212,48.085,,,
69,05/03/17,15:00:00,82.841,30.093,48.789,,,
70,05/03/17,15:05:00,82.708,28.209,46.893,,,
71,05/03/17,15:10:00,82.798,29.887,48.560,,,
72,05/03/17,15:15:00,82.486,29.668,48.090,,,
73,05/03/17,15:20:00,82.886,31.795,50.346,,,
74,05/03/17,15:25:00,82.620,31.647,49.986,,,
75,05/03/17,15:30:00,82.263,29.146,47.412,,,
76,05/03/17,15:35:00,81.997,27.938,46.022,,,
77,05/03/17,15:40:00,82.486,28.233,46.728,,,
78,05/03/17,15:45:00,82.396,28.332,46.747,,,
79,05/03/17,15:50:00,82.130,29.447,47.579,,,
80,05/03/17,15:55:00,82.353,30.649,48.871,,,
81,05/03/17,16:00:00,82.353,30.207,48.470,,,
82,05/03/17,16:05:00,82.218,30.269,48.412,,,
83,05/03/17,16:10:00,81.730,29.770,47.534,,,
84,05/03/17,16:15:00,82.308,30.885,49.044,,,
85,05/03/17,16:20:00,82.130,29.311,47.451,,,
86,05/03/17,16:25:00,82.175,29.722,47.872,,,
87,05/03/17,16:30:00,82.353,29.696,48.002,,,
88,05/03/17,16:35:00,82.396,29.834,48.168,,,
89,05/03/17,16:40:00,82.042,28.111,46.229,,,
90,05/03/17,16:45:00,82.218,28.974,47.210,,,
91,05/03/17,16:50:00,82.175,28.493,46.713,,,
92,05/03/17,16:55:00,82.175,29.108,47.298,,,
93,05/03/17,17:00:00,82.042,29.102,47.179,,,
94,05/03/17,17:05:00,82.042,29.307,47.372,,,
95,05/03/17,17:10:00,81.687,29.428,47.179,,,
96,05/03/17,17:15:00,81.554,30.306,47.872,,,
97,05/03/17,17:20:00,81.333,30.398,47.764,,,
98,05/03/17,17:25:00,81.199,30.901,48.099,,,
99,05/03/17,17:30:00,80.935,30.957,47.917,,,
100,05/03/17,17:35:00,80.713,32.232,48.834,,,
101,05/03/17,17:40:00,80.449,32.759,49.046,,,
102,05/03/17,17:45:00,80.272,32.750,48.886,,,
103,05/03/17,17:50:00,80.139,33.282,49.212,,,
104,05/03/17,17:55:00,80.008,33.343,49.145,,,
105,05/03/17,18:00:00,79.963,33.408,49.161,,,
106,05/03/17,18:05:00,79.655,33.930,49.314,,,
107,05/03/17,18:10:00,79.524,33.956,49.221,,,
108,05/03/17,18:15:00,79.304,34.381,49.368,,,
109,05/03/17,18:20:00,78.822,35.092,49.503,,,
110,05/03/17,18:25:00,78.777,34.421,48.938,,,
111,05/03/17,18:30:00,78.471,34.806,48.972,,,
112,05/03/17,18:35:00,78.208,35.260,49.093,,,
113,05/03/17,18:40:00,77.684,36.164,49.320,,,
114,05/03/17,18:45:00,77.029,37.752,49.908,,,
115,05/03/17,18:50:00,76.464,38.545,49.968,,,
116,05/03/17,18:55:00,76.028,39.573,50.293,,,
117,05/03/17,19:00:00,75.681,40.011,50.281,,,
118,05/03/17,19:05:00,75.333,40.449,50.265,,,
119,05/03/17,19:10:00,75.029,40.823,50.239,,,
120,05/03/17,19:15:00,74.770,42.371,51.012,,,
121,05/03/17,19:20:00,74.381,41.924,50.374,,,
122,05/03/17,19:25:00,74.034,42.422,50.380,,,
123,05/03/17,19:30:00,73.774,43.281,50.686,,,
124,05/03/17,19:35:00,73.472,43.940,50.817,,,
125,05/03/17,19:40:00,73.213,44.407,50.868,,,
126,05/03/17,19:45:00,72.997,45.100,51.087,,,
127,05/03/17,19:50:00,72.696,45.594,51.105,,,
128,05/03/17,19:55:00,72.437,47.080,51.730,,,
129,05/03/17,20:00:00,72.178,47.094,51.501,,,
130,05/03/17,20:05:00,71.920,47.299,51.381,,,
131,05/03/17,20:10:00,71.661,48.394,51.757,,,
132,05/03/17,20:15:00,71.404,49.041,51.874,,,
133,05/03/17,20:20:00,71.190,50.068,52.230,,,
134,05/03/17,20:25:00,70.930,52.029,53.019,,,
135,05/03/17,20:30:00,70.630,52.006,52.727,,,
136,05/03/17,20:35:00,70.372,52.049,52.511,,,
137,05/03/17,20:40:00,70.201,53.036,52.851,,,
138,05/03/17,20:45:00,70.029,52.991,52.669,,,
139,05/03/17,20:50:00,69.901,53.418,52.763,,,
140,05/03/17,20:55:00,69.771,54.061,52.961,,,
