Row,Date,Time,Temp. ,RH  
1,18-05-10,13:45:19,87.255,39.666
2,18-05-10,13:50:19,85.757,40.112
3,18-05-10,13:55:19,84.812,41.746
4,18-05-10,14:00:19,84.094,42.988
5,18-05-10,14:05:19,85.262,41.939
6,18-05-10,14:10:19,83.736,43.984
7,18-05-10,14:15:19,84.407,39.201
8,18-05-10,14:20:19,84.587,37.476
9,18-05-10,14:25:19,86.256,38.873
10,18-05-10,14:30:19,87.483,38.139
11,18-05-10,14:35:19,87.436,39.643
12,18-05-10,14:40:19,87.346,39.704
13,18-05-10,14:45:19,87.21,39.963
14,18-05-10,14:50:19,88.626,39.21
15,18-05-10,14:55:19,90.1,38.589
16,18-05-10,15:00:19,88.488,38.565
17,18-05-10,15:05:19,88.259,38.518
18,18-05-10,15:10:19,90.009,38.112
19,18-05-10,15:15:19,88.351,35.356
20,18-05-10,15:20:19,87.71,35.288
21,18-05-10,15:25:19,87.3,35.368
22,18-05-10,15:30:19,87.71,35.288
23,18-05-10,15:35:19,87.391,36.689
24,18-05-10,15:40:19,88.214,34.874
25,18-05-10,15:45:19,89.177,34.551
26,18-05-10,15:50:19,89.269,34.012
27,18-05-10,15:55:19,88.718,34.188
28,18-05-10,16:00:19,88.534,34.382
29,18-05-10,16:05:19,87.939,34.894
30,18-05-10,16:10:19,86.256,36.426
31,18-05-10,16:15:19,86.074,37.457
32,18-05-10,16:20:19,87.346,36.619
33,18-05-10,16:25:19,88.03,36.386
34,18-05-10,16:30:19,87.985,36.316
35,18-05-10,16:35:19,87.802,36.846
36,18-05-10,16:40:19,86.981,37.003
37,18-05-10,16:45:19,86.754,37.897
38,18-05-10,16:50:19,86.664,36.986
39,18-05-10,16:55:19,86.664,35.841
40,18-05-10,17:00:19,87.163,36.744
41,18-05-10,17:05:19,87.073,37.21
42,18-05-10,17:10:19,86.164,37.831
43,18-05-10,17:15:19,86.074,38.395
44,18-05-10,17:20:19,87.21,38.593
45,18-05-10,17:25:19,87.894,37.053
46,18-05-10,17:30:19,87.665,37.511
47,18-05-10,17:35:19,87.62,35.791
48,18-05-10,17:40:19,87.436,35.882
49,18-05-10,17:45:19,87.163,36.407
50,18-05-10,17:50:19,87.985,36.654
51,18-05-10,17:55:19,88.351,35.796
52,18-05-10,18:00:19,88.167,36.461
53,18-05-10,18:05:19,87.802,36.644
54,18-05-10,18:10:19,88.396,37.047
55,18-05-10,18:15:19,86.527,38.722
56,18-05-10,18:20:19,86.029,39.428
57,18-05-10,18:25:19,85.352,39.755
58,18-05-10,18:30:19,85.622,39.904
59,18-05-10,18:35:19,85.894,39.62
60,18-05-10,18:40:19,85.307,40.152
61,18-05-10,18:45:19,83.332,40.797
62,18-05-10,18:50:19,79.261,44.869
63,18-05-10,18:55:19,78.251,46.743
64,18-05-10,19:00:19,77.596,47.855
65,18-05-10,19:05:19,76.332,50.066
66,18-05-10,19:10:19,75.898,51.272
67,18-05-10,19:15:19,74.943,53.092
68,18-05-10,19:20:19,72.739,57.308
69,18-05-10,19:25:19,72.264,58.592
70,18-05-10,19:30:19,72.178,58.493
71,18-05-10,19:35:19,72.178,58.831
72,18-05-10,19:40:19,71.92,59.422
73,18-05-10,19:45:19,71.447,59.839
74,18-05-10,19:50:19,69.985,64.039
75,18-05-10,19:55:19,69.427,65.453
76,18-05-10,20:00:19,68.785,67.53
77,18-05-10,20:05:19,67.798,71.887
78,18-05-10,20:10:19,67.242,74.342
79,18-05-10,20:15:19,66.472,76.631
80,18-05-10,20:20:19,65.53,78.337
81,18-05-10,20:25:19,65.444,79.481
82,18-05-10,20:30:19,65.359,80.032
83,18-05-10,20:35:19,65.145,80.37
84,18-05-10,20:40:19,65.059,80.444
85,18-05-10,20:45:19,65.23,80.38
86,18-05-10,20:50:19,65.53,80.864
87,18-05-10,20:55:19,65.53,81.839
88,18-05-10,21:00:19,65.403,81.963
89,18-05-10,21:05:19,65.102,82.675
90,18-05-10,21:10:19,65.017,82.609
91,18-05-10,21:15:19,64.974,82.881
92,18-05-10,21:20:19,64.931,83.428
93,18-05-10,21:25:19,64.717,83.952
94,18-05-10,21:30:19,64.418,84.464
95,18-05-10,21:35:19,64.074,85.024
96,18-05-10,21:40:19,63.903,85.467
97,18-05-10,21:45:19,63.862,85.925
98,18-05-10,21:50:19,63.819,86.355
99,18-05-10,21:55:19,63.775,86.675
100,18-05-10,22:00:19,63.518,86.94
101,18-05-10,22:05:19,63.475,87.233
102,18-05-10,22:10:19,63.475,87.53
103,18-05-10,22:15:19,63.433,87.606
104,18-05-10,22:20:19,63.347,87.757
105,18-05-10,22:25:19,63.561,87.947
106,18-05-10,22:30:19,63.347,88.053
107,18-05-10,22:35:19,63.176,88.192
108,18-05-10,22:40:19,63.005,88.331
109,18-05-10,22:45:19,63.048,88.471
110,18-05-10,22:50:19,63.133,88.644
111,18-05-10,22:55:19,62.962,88.567
112,18-05-10,23:00:19,63.518,88.723
113,18-05-10,23:05:19,63.433,88.846
114,18-05-10,23:10:19,63.262,88.903
115,18-05-10,23:15:19,63.005,89.057
116,18-05-10,23:20:19,63.005,89.218
117,18-05-10,23:25:19,63.219,89.3
118,18-05-10,23:30:19,63.304,89.419
119,18-05-10,23:35:19,63.176,89.187
120,18-05-10,23:40:19,62.875,89.2
121,18-05-10,23:45:19,63.304,89.365
122,18-05-10,23:50:19,63.304,89.365
123,18-05-10,23:55:19,63.347,89.21
124,18-05-11,0:00:19,63.732,89.154
125,18-05-11,0:05:19,64.204,88.949
126,18-05-11,0:10:19,63.862,88.634
127,18-05-11,0:15:19,64.033,88.414
128,18-05-11,0:20:19,63.689,88.153
129,18-05-11,0:25:19,63.775,88.137
130,18-05-11,0:30:19,64.204,87.897
131,18-05-11,0:35:19,64.459,87.633
132,18-05-11,0:40:19,64.546,87.482
133,18-05-11,0:45:19,63.946,87.511
134,18-05-11,0:50:19,63.005,87.711
135,18-05-11,0:55:19,62.49,88.074
136,18-05-11,1:00:19,62.233,88.47
137,18-05-11,1:05:19,62.105,88.829
138,18-05-11,1:10:19,62.148,89.075
139,18-05-11,1:15:19,62.148,89.289
140,18-05-11,1:20:19,62.105,89.524
141,18-05-11,1:25:19,62.062,89.679
142,18-05-11,1:30:19,62.276,90.135
143,18-05-11,1:35:19,62.148,90.037
144,18-05-11,1:40:19,62.148,90.064
145,18-05-11,1:45:19,62.276,90.028
146,18-05-11,1:50:19,62.191,89.963
147,18-05-11,1:55:19,62.447,89.918
148,18-05-11,2:00:19,62.577,89.829
149,18-05-11,2:05:19,62.748,89.665
150,18-05-11,2:10:19,62.791,89.537
151,18-05-11,2:15:19,62.919,89.26
152,18-05-11,2:20:19,62.962,89.104
153,18-05-11,2:25:19,62.791,88.867
154,18-05-11,2:30:19,62.791,88.706
155,18-05-11,2:35:19,62.791,88.598
156,18-05-11,2:40:19,62.577,88.462
157,18-05-11,2:45:19,62.49,88.424
158,18-05-11,2:50:19,62.533,88.403
159,18-05-11,2:55:19,62.533,88.403
160,18-05-11,3:00:19,62.661,88.339
161,18-05-11,3:05:19,62.748,88.27
162,18-05-11,3:10:19,62.791,88.249
163,18-05-11,3:15:19,62.62,88.199
164,18-05-11,3:20:19,62.447,88.311
165,18-05-11,3:25:19,62.447,88.338
166,18-05-11,3:30:19,62.319,88.428
167,18-05-11,3:35:19,62.362,88.568
168,18-05-11,3:40:19,62.447,88.767
169,18-05-11,3:45:19,62.276,88.771
170,18-05-11,3:50:19,62.062,88.957
171,18-05-11,3:55:19,62.191,89.054
172,18-05-11,4:00:19,62.105,89.15
173,18-05-11,4:05:19,62.276,89.253
174,18-05-11,4:10:19,62.148,89.396
175,18-05-11,4:15:19,61.848,89.489
176,18-05-11,4:20:19,61.977,89.667
177,18-05-11,4:25:19,61.934,89.821
178,18-05-11,4:30:19,61.804,89.964
179,18-05-11,4:35:19,61.633,90.153
180,18-05-11,4:40:19,61.29,90.266
