"Plot Title:  10635578"
"#","Date","Time, GMT-04:00","Temp, °F (LGR S/N: 10635578, SEN S/N: 10635578, LBL:  10635578_T)","RH, % (LGR S/N: 10635578, SEN S/N: 10635578, LBL:  10635578_RH)"
1,18-05-09,13:20:59,80.361,48.467
2,18-05-09,13:25:59,80.272,48.686
3,18-05-09,13:30:59,81.597,47.651
4,18-05-09,13:35:59,83.691,45.552
5,18-05-09,13:40:59,81.864,45.919
6,18-05-09,13:45:59,79.788,47.203
7,18-05-09,13:50:59,79.216,48.579
8,18-05-09,13:55:59,78.996,49.365
9,18-05-09,14:00:59,78.777,49.478
10,18-05-09,14:05:59,79.084,49.212
11,18-05-09,14:10:59,79.700,47.842
12,18-05-09,14:15:59,80.184,46.098
13,18-05-09,14:20:59,80.404,45.399
14,18-05-09,14:25:59,81.509,44.070
15,18-05-09,14:30:59,81.687,43.296
16,18-05-09,14:35:59,81.288,44.056
17,18-05-09,14:40:59,81.509,44.625
18,18-05-09,14:45:59,82.042,43.941
19,18-05-09,14:50:59,83.154,42.634
20,18-05-09,14:55:59,83.779,40.128
21,18-05-09,15:00:59,83.869,37.703
22,18-05-09,15:05:59,84.497,36.600
23,18-05-09,15:10:59,82.308,39.942
24,18-05-09,15:15:59,85.712,42.727
25,18-05-09,15:20:59,86.074,41.260
26,18-05-09,15:25:59,86.799,39.873
27,18-05-09,15:30:59,87.210,39.429
28,18-05-09,15:35:59,85.172,39.911
29,18-05-09,15:40:59,84.452,41.791
30,18-05-09,15:45:59,84.094,41.769
31,18-05-09,15:50:59,82.753,42.543
32,18-05-09,15:55:59,83.646,43.519
33,18-05-09,16:00:59,86.119,41.064
34,18-05-09,16:05:59,86.437,36.436
35,18-05-09,16:10:59,86.754,35.981
36,18-05-09,16:15:59,85.487,35.375
37,18-05-09,16:20:59,85.442,35.642
38,18-05-09,16:25:59,85.262,35.093
39,18-05-09,16:30:59,84.497,35.659
40,18-05-09,16:35:59,84.812,35.373
41,18-05-09,16:40:59,85.352,34.693
42,18-05-09,16:45:59,84.722,33.444
43,18-05-09,16:50:59,85.217,33.807
44,18-05-09,16:55:59,86.664,33.643
45,18-05-09,17:00:59,86.617,33.573
46,18-05-09,17:05:59,87.802,32.849
47,18-05-09,17:10:59,87.802,32.611
48,18-05-09,17:15:59,87.346,33.167
49,18-05-09,17:20:59,86.256,33.079
50,18-05-09,17:25:59,86.301,32.912
51,18-05-09,17:30:59,85.487,33.075
52,18-05-09,17:35:59,86.301,33.726
53,18-05-09,17:40:59,88.030,32.792
54,18-05-09,17:45:59,86.391,32.610
55,18-05-09,17:50:59,86.211,32.023
56,18-05-09,17:55:59,85.712,32.067
57,18-05-09,18:00:59,86.981,34.100
