"Plot Title: 10884500"
"#","Date","Time, GMT-04:00","Temp, °F (LGR S/N: 10884500, SEN S/N: 10884500)","RH, % (LGR S/N: 10884500, SEN S/N: 10884500)"
1,18-05-09,16:26:21,85.082,37.704
2,18-05-09,16:31:21,87.118,34.987
3,18-05-09,16:36:21,87.573,35.417
4,18-05-09,16:41:21,86.391,33.799
5,18-05-09,16:46:21,87.210,33.704
6,18-05-09,16:51:21,86.301,33.930
7,18-05-09,16:56:21,86.164,35.140
8,18-05-09,17:01:21,87.573,32.156
9,18-05-09,17:06:21,86.664,34.490
10,18-05-09,17:11:21,85.849,32.753
11,18-05-09,17:16:21,86.301,32.980
12,18-05-09,17:21:21,86.572,32.721
13,18-05-09,17:26:21,85.622,33.150
14,18-05-09,17:31:21,85.035,32.883
15,18-05-09,17:36:21,85.397,32.799
16,18-05-09,17:41:21,84.945,32.438
17,18-05-09,17:46:21,85.622,33.285
18,18-05-09,17:51:21,85.127,32.854
19,18-05-09,17:56:21,85.802,32.547
20,18-05-09,18:01:21,85.849,33.297
21,18-05-09,18:06:21,86.754,32.526
22,18-05-09,18:11:21,86.572,34.553
23,18-05-09,18:16:21,85.217,35.630
24,18-05-09,18:21:21,84.317,33.559
25,18-05-09,18:26:21,84.452,33.329
26,18-05-09,18:31:21,84.094,35.369
27,18-05-09,18:36:21,83.824,33.061
28,18-05-09,18:41:21,84.182,33.417
29,18-05-09,18:46:21,84.272,31.318
30,18-05-09,18:51:21,83.467,32.298
31,18-05-09,18:56:21,83.287,33.203
32,18-05-09,19:01:21,83.646,31.832
33,18-05-09,19:06:21,82.708,33.512
34,18-05-09,19:11:21,82.665,32.597
35,18-05-09,19:16:21,82.753,33.244
36,18-05-09,19:21:21,82.841,31.793
37,18-05-09,19:26:21,82.620,31.307
38,18-05-09,19:31:21,82.308,31.632
39,18-05-09,19:36:21,81.909,32.425
40,18-05-09,19:41:21,81.244,37.624
41,18-05-09,19:46:21,80.935,42.036
42,18-05-09,19:51:21,80.802,44.122
43,18-05-09,19:56:21,80.449,44.621
44,18-05-09,20:01:21,80.139,44.731
45,18-05-09,20:06:21,80.051,45.440
46,18-05-09,20:11:21,79.920,45.626
47,18-05-09,20:16:21,79.655,46.354
48,18-05-09,20:21:21,79.567,46.542
49,18-05-09,20:26:21,79.392,46.821
50,18-05-09,20:31:21,79.261,46.973
51,18-05-09,20:36:21,78.559,47.569
52,18-05-09,20:41:21,78.165,48.537
53,18-05-09,20:46:21,78.339,48.806
54,18-05-09,20:51:21,78.339,49.478
55,18-05-09,20:56:21,78.382,49.641
56,18-05-09,21:01:21,78.251,49.983
57,18-05-09,21:06:21,77.815,50.429
58,18-05-09,21:11:21,77.902,50.786
59,18-05-09,21:16:21,77.684,50.770
60,18-05-09,21:21:21,77.464,50.976
61,18-05-09,21:26:21,76.725,51.492
62,18-05-09,21:31:21,76.289,52.471
63,18-05-09,21:36:21,76.071,52.896
64,18-05-09,21:41:21,76.158,52.777
65,18-05-09,21:46:21,76.203,52.338
66,18-05-09,21:51:21,76.507,51.856
67,18-05-09,21:56:21,77.072,51.137
68,18-05-09,22:01:21,76.854,50.931
69,18-05-09,22:06:21,76.289,51.396
70,18-05-09,22:11:21,75.942,52.255
71,18-05-09,22:16:21,75.637,52.453
72,18-05-09,22:21:21,76.246,51.709
73,18-05-09,22:26:21,75.985,51.942
74,18-05-09,22:31:21,75.767,52.431
75,18-05-09,22:36:21,75.724,52.491
76,18-05-09,22:41:21,75.681,52.771
77,18-05-09,22:46:21,75.767,52.431
78,18-05-09,22:51:21,75.117,53.074
79,18-05-09,22:56:21,75.074,54.012
80,18-05-09,23:01:21,74.640,54.198
81,18-05-09,23:06:21,74.163,55.066
82,18-05-09,23:11:21,73.602,55.550
83,18-05-09,23:16:21,73.645,55.833
84,18-05-09,23:21:21,74.077,55.962
85,18-05-09,23:26:21,74.034,56.362
86,18-05-09,23:31:21,73.602,56.978
87,18-05-09,23:36:21,73.645,57.043
88,18-05-09,23:41:21,73.645,57.322
89,18-05-09,23:46:21,73.602,56.792
90,18-05-09,23:51:21,73.256,56.980
91,18-05-09,23:56:21,73.040,57.457
92,18-05-10,00:01:21,73.213,57.626
93,18-05-10,00:06:21,72.826,57.840
94,18-05-10,00:11:21,72.523,58.338
95,18-05-10,00:16:21,72.221,58.926
96,18-05-10,00:21:21,72.050,59.249
97,18-05-10,00:26:21,72.050,59.647
98,18-05-10,00:31:21,72.093,59.804
99,18-05-10,00:36:21,72.136,59.655
100,18-05-10,00:41:21,73.731,58.379
101,18-05-10,00:46:21,74.856,55.995
102,18-05-10,00:51:21,75.204,55.181
103,18-05-10,00:56:21,75.204,54.899
104,18-05-10,01:01:21,75.508,54.392
105,18-05-10,01:06:21,75.463,54.357
106,18-05-10,01:11:21,75.247,54.590
107,18-05-10,01:16:21,75.247,54.559
108,18-05-10,01:21:21,74.943,54.785
109,18-05-10,01:26:21,74.899,54.625
110,18-05-10,01:31:21,74.813,54.493
111,18-05-10,01:36:21,74.554,54.597
112,18-05-10,01:41:21,74.770,54.051
113,18-05-10,01:46:21,74.206,54.663
114,18-05-10,01:51:21,74.295,54.639
115,18-05-10,01:56:21,74.250,54.479
116,18-05-10,02:01:21,74.250,54.479
117,18-05-10,02:06:21,73.818,55.287
118,18-05-10,02:11:21,72.826,56.727
119,18-05-10,02:16:21,71.964,58.228
120,18-05-10,02:21:21,72.523,58.461
121,18-05-10,02:26:21,71.964,58.751
122,18-05-10,02:31:21,71.404,59.621
123,18-05-10,02:36:21,70.930,60.556
124,18-05-10,02:41:21,70.459,61.213
125,18-05-10,02:46:21,70.372,62.175
126,18-05-10,02:51:21,70.072,62.782
127,18-05-10,02:56:21,69.901,64.181
128,18-05-10,03:01:21,69.685,64.190
129,18-05-10,03:06:21,69.427,64.586
130,18-05-10,03:11:21,68.999,65.053
131,18-05-10,03:16:21,68.913,65.999
132,18-05-10,03:21:21,68.742,66.131
133,18-05-10,03:26:21,68.270,67.035
134,18-05-10,03:31:21,67.842,67.879
135,18-05-10,03:36:21,67.627,68.535
136,18-05-10,03:41:21,67.586,68.884
137,18-05-10,03:46:21,67.586,69.354
138,18-05-10,03:51:21,67.714,69.748
139,18-05-10,03:56:21,67.627,69.446
140,18-05-10,04:01:21,67.586,69.910
141,18-05-10,04:06:21,67.627,69.885
142,18-05-10,04:11:21,67.627,70.032
143,18-05-10,04:16:21,67.586,69.998
144,18-05-10,04:21:21,67.500,70.486
145,18-05-10,04:26:21,67.329,70.585
146,18-05-10,04:31:21,66.943,70.924
147,18-05-10,04:36:21,66.600,71.615
148,18-05-10,04:41:21,66.301,72.220
149,18-05-10,04:46:21,66.087,72.776
150,18-05-10,04:51:21,65.959,73.339
151,18-05-10,04:56:21,65.745,73.603
152,18-05-10,05:01:21,65.615,74.049
153,18-05-10,05:06:21,65.487,74.379
154,18-05-10,05:11:21,65.487,74.837
155,18-05-10,05:16:21,65.444,74.918
156,18-05-10,05:21:21,65.273,75.213
157,18-05-10,05:26:21,65.403,75.684
158,18-05-10,05:31:21,65.487,75.836
159,18-05-10,05:36:21,65.403,76.140
160,18-05-10,05:41:21,65.359,76.192
161,18-05-10,05:46:21,65.102,76.532
162,18-05-10,05:51:21,65.059,76.925
163,18-05-10,05:56:21,65.017,77.175
164,18-05-10,06:01:21,64.931,77.278
165,18-05-10,06:06:21,64.674,77.249
166,18-05-10,06:11:21,64.459,77.450
167,18-05-10,06:16:21,64.375,77.751
168,18-05-10,06:21:21,64.288,77.938
169,18-05-10,06:26:21,64.288,78.051
170,18-05-10,06:31:21,64.247,78.215
171,18-05-10,06:36:21,64.332,78.338
172,18-05-10,06:41:21,64.288,78.389
173,18-05-10,06:46:21,64.204,78.604
174,18-05-10,06:51:21,64.332,78.872
175,18-05-10,06:56:21,64.375,78.905
176,18-05-10,07:01:21,64.375,78.849
177,18-05-10,07:06:21,64.546,78.982
178,18-05-10,07:11:21,64.931,78.802
179,18-05-10,07:16:21,65.059,78.648
180,18-05-10,07:21:21,65.273,78.448
181,18-05-10,07:26:21,65.359,78.401
182,18-05-10,07:31:21,65.530,78.478
183,18-05-10,07:36:21,65.701,78.328
184,18-05-10,07:41:21,66.258,78.111
185,18-05-10,07:46:21,66.429,77.904
186,18-05-10,07:51:21,66.686,77.735
187,18-05-10,07:56:21,67.114,77.387
188,18-05-10,08:01:21,67.329,77.042
189,18-05-10,08:06:21,67.757,76.635
190,18-05-10,08:11:21,68.356,75.902
191,18-05-10,08:16:21,69.643,71.791
192,18-05-10,08:21:21,69.901,71.848
193,18-05-10,08:26:21,70.416,69.408
194,18-05-10,08:31:21,70.630,69.341
195,18-05-10,08:36:21,70.759,67.875
196,18-05-10,08:41:21,72.007,66.419
197,18-05-10,08:46:21,72.093,66.786
198,18-05-10,08:51:21,72.523,66.140
199,18-05-10,08:56:21,72.351,63.959
200,18-05-10,09:01:21,73.256,64.165
201,18-05-10,09:06:21,73.256,63.045
202,18-05-10,09:11:21,73.386,61.720
203,18-05-10,09:16:21,73.386,61.019
204,18-05-10,09:21:21,73.904,60.973
205,18-05-10,09:26:21,74.250,61.096
206,18-05-10,09:31:21,74.727,60.065
207,18-05-10,09:36:21,74.856,60.046
208,18-05-10,09:41:21,75.204,60.015
209,18-05-10,09:46:21,76.071,59.536
210,18-05-10,09:51:21,76.593,58.995
211,18-05-10,09:56:21,76.942,57.847
212,18-05-10,10:01:21,77.596,57.622
213,18-05-10,10:06:21,77.945,57.277
214,18-05-10,10:11:21,77.990,56.594
215,18-05-10,10:16:21,78.996,55.894
216,18-05-10,10:21:21,80.404,53.959
217,18-05-10,10:26:21,80.668,52.934
218,18-05-10,10:31:21,81.154,50.387
219,18-05-10,10:36:21,81.775,49.115
220,18-05-10,10:41:21,82.620,49.046
221,18-05-10,10:46:21,82.218,49.469
222,18-05-10,10:51:21,82.486,49.777
223,18-05-10,10:56:21,83.422,47.972
224,18-05-10,11:01:21,85.082,46.949
225,18-05-10,11:06:21,83.824,46.473
226,18-05-10,11:11:21,84.272,46.634
227,18-05-10,11:16:21,84.362,44.647
228,18-05-10,11:21:21,84.812,44.480
229,18-05-10,11:26:21,85.487,41.721
230,18-05-10,11:31:21,85.532,41.260
231,18-05-10,11:36:21,85.532,41.956
232,18-05-10,11:41:21,85.487,40.727
233,18-05-10,11:46:21,86.391,41.412
234,18-05-10,11:51:21,86.437,40.717
235,18-05-10,11:56:21,87.665,38.418
236,18-05-10,12:01:21,85.939,40.687
237,18-05-10,12:06:21,86.981,40.317
238,18-05-10,12:11:21,87.573,40.518
239,18-05-10,12:16:21,89.454,38.115
240,18-05-10,12:21:21,88.579,38.570
241,18-05-10,12:26:21,88.351,38.993
242,18-05-10,12:31:21,89.132,38.333
243,18-05-10,12:36:21,87.802,40.132
244,18-05-10,12:41:21,88.167,40.019
245,18-05-10,12:46:21,89.685,39.136
246,18-05-10,12:51:21,90.286,37.993
247,18-05-10,12:56:21,87.847,38.998
248,18-05-10,13:01:21,86.437,38.650
249,18-05-10,13:06:21,87.665,38.485
250,18-05-10,13:11:21,88.488,38.229
251,18-05-10,13:16:21,88.671,38.038
252,18-05-10,13:21:21,89.362,37.874
253,18-05-10,13:26:21,90.936,36.813
254,18-05-10,13:31:21,87.300,38.196
255,18-05-10,13:36:21,86.754,38.333
256,18-05-10,13:41:21,86.119,40.997
257,18-05-10,13:46:21,84.677,42.729
258,18-05-10,13:51:21,84.677,43.256
259,18-05-10,13:56:21,84.677,43.946
260,18-05-10,14:01:21,84.182,44.505
261,18-05-10,14:06:21,85.082,42.952
262,18-05-10,14:11:21,85.802,43.458
263,18-05-10,14:16:21,84.677,39.283
264,18-05-10,14:21:21,84.632,40.543
265,18-05-10,14:26:21,87.802,39.998
266,18-05-10,14:31:21,88.763,38.547
267,18-05-10,14:36:21,89.316,39.316
268,18-05-10,14:41:21,89.040,39.234
269,18-05-10,14:46:21,87.757,39.862
270,18-05-10,14:51:21,87.028,40.752
271,18-05-10,14:56:21,88.396,40.700
272,18-05-10,15:01:21,89.593,40.170
273,18-05-10,15:06:21,89.685,38.935
274,18-05-10,15:11:21,88.810,36.833
275,18-05-10,15:16:21,89.362,36.458
276,18-05-10,15:21:21,88.075,37.164
277,18-05-10,15:26:21,88.259,38.149
278,18-05-10,15:31:21,88.075,36.659
279,18-05-10,15:36:21,88.167,36.394
280,18-05-10,15:41:21,88.855,36.431
281,18-05-10,15:46:21,90.239,35.285
282,18-05-10,15:51:21,90.657,34.831
