"Plot Title:  10884528"
"#","Date","Time, GMT-04:00","Temp, °F (LGR S/N: 10884528, SEN S/N: 10884528)","RH, % (LGR S/N: 10884528, SEN S/N: 10884528)"
1,18-05-10,12:00:00,81.819,49.376
2,18-05-10,12:05:00,82.175,48.370
3,18-05-10,12:10:00,82.042,47.973
4,18-05-10,12:15:00,82.620,47.236
5,18-05-10,12:20:00,82.441,46.575
6,18-05-10,12:25:00,82.308,47.474
7,18-05-10,12:30:00,82.441,48.743
8,18-05-10,12:35:00,82.575,48.624
9,18-05-10,12:40:00,82.841,48.352
10,18-05-10,12:45:00,82.753,48.475
11,18-05-10,12:50:00,83.109,47.205
12,18-05-10,12:55:00,83.287,46.502
13,18-05-10,13:00:00,83.287,46.632
14,18-05-10,13:05:00,82.396,45.433
15,18-05-10,13:10:00,82.263,45.913
16,18-05-10,13:15:00,83.199,46.171
17,18-05-10,13:20:00,83.869,45.661
18,18-05-10,13:25:00,84.049,44.660
19,18-05-10,13:30:00,84.094,45.448
20,18-05-10,13:35:00,83.736,45.457
21,18-05-10,13:40:00,82.441,46.964
22,18-05-10,13:45:00,81.333,48.633
23,18-05-10,13:50:00,80.713,50.226
24,18-05-10,13:55:00,80.404,51.641
25,18-05-10,14:00:00,80.139,52.194
26,18-05-10,14:05:00,79.876,52.682
27,18-05-10,14:10:00,79.920,53.953
28,18-05-10,14:15:00,80.272,54.801
29,18-05-10,14:20:00,80.361,54.177
30,18-05-10,14:25:00,80.625,49.996
31,18-05-10,14:30:00,81.997,49.324
32,18-05-10,14:35:00,83.021,48.138
33,18-05-10,14:40:00,84.137,46.690
34,18-05-10,14:45:00,83.422,47.907
35,18-05-10,14:50:00,82.708,49.890
36,18-05-10,14:55:00,83.377,50.131
37,18-05-10,15:00:00,83.242,51.117
38,18-05-10,15:05:00,83.377,50.131
39,18-05-10,15:10:00,82.798,49.414
40,18-05-10,15:15:00,83.467,48.654
41,18-05-10,15:20:00,83.691,46.008
42,18-05-10,15:25:00,83.646,46.070
43,18-05-10,15:30:00,83.779,46.405
44,18-05-10,15:35:00,83.914,47.065
45,18-05-10,15:40:00,84.049,46.097
46,18-05-10,15:45:00,84.722,45.227
47,18-05-10,15:50:00,83.914,45.403
48,18-05-10,15:55:00,83.242,47.214
49,18-05-10,16:00:00,83.467,45.537
50,18-05-10,16:05:00,84.272,44.609
51,18-05-10,16:10:00,85.172,43.879
52,18-05-10,16:15:00,84.812,42.836
53,18-05-10,16:20:00,85.127,41.534
54,18-05-10,16:25:00,85.127,42.228
55,18-05-10,16:30:00,84.677,43.058
56,18-05-10,16:35:00,84.452,44.161
57,18-05-10,16:40:00,84.094,43.416
58,18-05-10,16:45:00,83.646,44.797
59,18-05-10,16:50:00,83.287,45.394
60,18-05-10,16:55:00,83.064,46.650
61,18-05-10,17:00:00,83.287,45.949
62,18-05-10,17:05:00,82.976,46.026
63,18-05-10,17:10:00,82.886,46.377
64,18-05-10,17:15:00,83.422,45.730
65,18-05-10,17:20:00,83.869,45.629
66,18-05-10,17:25:00,83.824,44.940
67,18-05-10,17:30:00,83.691,45.290
68,18-05-10,17:35:00,83.511,46.452
69,18-05-10,17:40:00,83.109,46.262
70,18-05-10,17:45:00,82.931,47.030
71,18-05-10,17:50:00,82.886,47.352
72,18-05-10,17:55:00,83.242,46.043
73,18-05-10,18:00:00,83.736,43.262
74,18-05-10,18:05:00,84.004,43.804
75,18-05-10,18:10:00,83.824,45.365
76,18-05-10,18:15:00,83.691,46.594
77,18-05-10,18:20:00,83.064,47.266
78,18-05-10,18:25:00,82.396,47.771
79,18-05-10,18:30:00,82.085,47.652
80,18-05-10,18:35:00,82.042,47.649
81,18-05-10,18:40:00,81.864,48.219
82,18-05-10,18:45:00,81.421,46.408
83,18-05-10,18:50:00,79.304,47.008
84,18-05-10,18:55:00,77.902,48.807
85,18-05-10,19:00:00,77.203,50.671
86,18-05-10,19:05:00,76.419,51.406
87,18-05-10,19:10:00,75.637,52.547
88,18-05-10,19:15:00,75.160,54.051
89,18-05-10,19:20:00,74.163,55.003
90,18-05-10,19:25:00,73.342,56.832
91,18-05-10,19:30:00,72.783,58.790
92,18-05-10,19:35:00,72.523,59.842
93,18-05-10,19:40:00,72.178,60.148
94,18-05-10,19:45:00,72.007,60.652
95,18-05-10,19:50:00,71.834,60.453
96,18-05-10,19:55:00,71.490,62.247
97,18-05-10,20:00:00,70.115,66.444
98,18-05-10,20:05:00,68.527,70.359
99,18-05-10,20:10:00,67.329,74.726
100,18-05-10,20:15:00,66.643,76.793
101,18-05-10,20:20:00,66.087,79.501
102,18-05-10,20:25:00,65.444,81.523
103,18-05-10,20:30:00,64.803,82.915
104,18-05-10,20:35:00,64.288,84.229
105,18-05-10,20:40:00,63.946,85.281
106,18-05-10,20:45:00,63.775,86.594
107,18-05-10,20:50:00,63.732,87.266
108,18-05-10,20:55:00,63.862,88.041
109,18-05-10,21:00:00,64.117,88.776
110,18-05-10,21:05:00,64.033,89.141
111,18-05-10,21:10:00,64.204,89.755
112,18-05-10,21:15:00,64.845,90.565
113,18-05-10,21:20:00,64.674,90.729
114,18-05-10,21:25:00,64.632,90.830
115,18-05-10,21:30:00,64.717,90.895
116,18-05-10,21:35:00,64.760,91.061
117,18-05-10,21:40:00,64.845,91.287
118,18-05-10,21:45:00,64.803,91.441
119,18-05-10,21:50:00,64.717,91.669
120,18-05-10,21:55:00,64.589,91.784
121,18-05-10,22:00:00,64.546,91.937
122,18-05-10,22:05:00,64.503,92.038
123,18-05-10,22:10:00,64.459,92.165
124,18-05-10,22:15:00,64.204,92.288
125,18-05-10,22:20:00,64.033,92.423
126,18-05-10,22:25:00,63.990,92.496
127,18-05-10,22:30:00,64.033,92.582
128,18-05-10,22:35:00,64.033,92.714
129,18-05-10,22:40:00,63.862,92.769
130,18-05-10,22:45:00,63.732,92.778
131,18-05-10,22:50:00,63.518,92.827
132,18-05-10,22:55:00,63.433,92.921
133,18-05-10,23:00:00,63.176,92.964
134,18-05-10,23:05:00,63.176,93.122
135,18-05-10,23:10:00,63.262,93.239
136,18-05-10,23:15:00,63.262,93.371
137,18-05-10,23:20:00,63.347,93.462
138,18-05-10,23:25:00,63.390,93.573
139,18-05-10,23:30:00,63.475,93.691
140,18-05-10,23:35:00,63.518,93.802
141,18-05-10,23:40:00,63.518,93.881
142,18-05-10,23:45:00,63.475,93.953
143,18-05-10,23:50:00,63.518,94.065
144,18-05-10,23:55:00,63.518,94.117
145,18-05-11,00:00:00,63.518,94.170
146,18-05-11,00:05:00,63.347,94.198
147,18-05-11,00:10:00,63.219,94.232
148,18-05-11,00:15:00,63.219,94.284
149,18-05-11,00:20:00,63.219,94.310
150,18-05-11,00:25:00,63.133,94.324
