Row,Date,Time,Temp,RH
1,18-07-10,10:15:00,88.81,51.27
2,18-07-10,10:20:00,85.802,56.193
3,18-07-10,10:25:00,85.217,58.323
4,18-07-10,10:30:00,84.812,57.092
5,18-07-10,10:35:00,85.487,58.125
6,18-07-10,10:40:00,85.849,57.367
7,18-07-10,10:45:00,86.256,57.59
8,18-07-10,10:50:00,86.527,57.802
9,18-07-10,10:55:00,87.985,54.264
10,18-07-10,11:00:00,88.075,57.012
11,18-07-10,11:05:00,88.075,53.887
12,18-07-10,11:10:00,88.396,54.808
13,18-07-10,11:15:00,87.21,51.152
14,18-07-10,11:20:00,87.665,51.477
15,18-07-10,11:25:00,88.075,50.861
16,18-07-10,11:30:00,88.167,50.155
17,18-07-10,11:35:00,88.718,50.551
18,18-07-10,11:40:00,89.132,49.477
19,18-07-10,11:45:00,88.626,48.888
20,18-07-10,11:50:00,88.396,49.23
21,18-07-10,11:55:00,88.81,49.584
22,18-07-10,12:00:00,88.075,50.213
23,18-07-10,12:05:00,88.075,48.719
24,18-07-10,12:10:00,88.534,50.246
25,18-07-10,12:15:00,88.947,48.976
26,18-07-10,12:20:00,89.776,48.283
27,18-07-10,12:25:00,89.731,48.28
28,18-07-10,12:30:00,90.009,45.311
29,18-07-10,12:35:00,89.224,45.029
30,18-07-10,12:40:00,89.04,44.192
31,18-07-10,12:45:00,89.731,44.269
32,18-07-10,12:50:00,90.286,44.47
33,18-07-10,12:55:00,90.703,44.927
34,18-07-10,13:00:00,89.962,45.77
35,18-07-10,13:05:00,90.286,43.178
36,18-07-10,13:10:00,91.495,42.088
37,18-07-10,13:15:00,91.402,43.015
38,18-07-10,13:20:00,91.076,46.864
39,18-07-10,13:25:00,90.1,45.383
40,18-07-10,13:30:00,90.75,44.037
41,18-07-10,13:35:00,91.355,45.994
42,18-07-10,13:40:00,90.936,43.717
43,18-07-10,13:45:00,91.449,43.118
44,18-07-10,13:50:00,91.963,39.031
45,18-07-10,13:55:00,91.963,39.3
46,18-07-10,14:00:00,91.589,42.127
47,18-07-10,14:05:00,91.308,42.41
48,18-07-10,14:10:00,91.308,41.809
49,18-07-10,14:15:00,91.589,42.827
50,18-07-10,14:20:00,91.683,43.432
51,18-07-10,14:25:00,92.151,43.827
52,18-07-10,14:30:00,91.495,43.32
53,18-07-10,14:35:00,92.433,41.141
54,18-07-10,14:40:00,93.045,42.516
55,18-07-10,14:45:00,92.244,42.233
56,18-07-10,14:50:00,92.057,41.888
57,18-07-10,14:55:00,92.197,41.328
58,18-07-10,15:00:00,91.17,45.024
59,18-07-10,15:05:00,91.636,44.822
60,18-07-10,15:10:00,91.216,45.489
61,18-07-10,15:15:00,91.87,46.292
62,18-07-10,15:20:00,90.239,47.3
63,18-07-10,15:25:00,91.87,47.016
64,18-07-10,15:30:00,91.076,47.685
65,18-07-10,15:35:00,91.87,47.51
66,18-07-10,15:40:00,92.433,47.318
67,18-07-10,15:45:00,92.527,48.015
68,18-07-10,15:50:00,90.936,49.214
69,18-07-10,15:55:00,91.17,50.957
70,18-07-10,16:00:00,92.057,49.457
71,18-07-10,16:05:00,91.402,47.511
72,18-07-10,16:10:00,90.518,49.674
73,18-07-10,16:15:00,89.269,50.527
74,18-07-10,16:20:00,88.488,51.15
75,18-07-10,16:25:00,88.351,52.495
76,18-07-10,16:30:00,90.565,51.432
77,18-07-10,16:35:00,91.963,48.599
78,18-07-10,16:40:00,92.291,49.375
79,18-07-10,16:45:00,91.542,47.06
80,18-07-10,16:50:00,92.151,45.187
81,18-07-10,16:55:00,92.057,45.644
82,18-07-10,17:00:00,93.47,43.344
83,18-07-10,17:05:00,92.057,44.186
84,18-07-10,17:10:00,91.589,45.448
85,18-07-10,17:15:00,91.963,43.815
86,18-07-10,17:20:00,93.943,43.373
87,18-07-10,17:25:00,93.045,43.317
88,18-07-10,17:30:00,91.495,44.78
89,18-07-10,17:35:00,91.542,42.524
90,18-07-10,17:40:00,91.823,43.872
91,18-07-10,17:45:00,93.517,42.077
92,18-07-10,17:50:00,94.419,41.394
93,18-07-10,17:55:00,91.823,42.575
94,18-07-10,18:00:00,90.194,43.935
95,18-07-10,18:05:00,89.177,45.817
96,18-07-10,18:10:00,88.81,48.379
97,18-07-10,18:15:00,91.355,47.179
98,18-07-10,18:20:00,91.495,45.871
99,18-07-10,18:25:00,91.123,45.087
100,18-07-10,18:30:00,91.308,45.826
101,18-07-10,18:35:00,91.495,46.003
102,18-07-10,18:40:00,90.194,47.625
103,18-07-10,18:45:00,89.454,48.816
104,18-07-10,18:50:00,88.718,50
105,18-07-10,18:55:00,89.407,48.715
106,18-07-10,19:00:00,89.085,48.66
107,18-07-10,19:05:00,90.75,49.103
108,18-07-10,19:10:00,90.703,47.397
109,18-07-10,19:15:00,91.683,45.751
110,18-07-10,19:20:00,91.729,45.919
111,18-07-10,19:25:00,91.495,44.548
112,18-07-10,19:30:00,90.75,44.897
113,18-07-10,19:35:00,90.194,45.686
114,18-07-10,19:40:00,89.546,45.116
115,18-07-10,19:45:00,88.81,45.299
116,18-07-10,19:50:00,88.671,45.059
117,18-07-10,19:55:00,88.443,46.064
118,18-07-10,20:00:00,87.939,47.373
119,18-07-10,20:05:00,87.391,50.617
120,18-07-10,20:10:00,87.073,52.398
121,18-07-10,20:15:00,86.936,53.543
122,18-07-10,20:20:00,86.799,54.395
123,18-07-10,20:25:00,86.617,54.668
124,18-07-10,20:30:00,86.572,55.206
125,18-07-10,20:35:00,86.074,55.771
126,18-07-10,20:40:00,86.029,56.401
127,18-07-10,20:45:00,85.532,57.183
128,18-07-10,20:50:00,85.035,58.088
129,18-07-10,20:55:00,84.677,58.78
130,18-07-10,21:00:00,84.542,59.395
131,18-07-10,21:05:00,84.722,59.63
132,18-07-10,21:10:00,84.362,60.099
133,18-07-10,21:15:00,84.094,60.886
134,18-07-10,21:20:00,83.914,61.554
135,18-07-10,21:25:00,83.869,61.488
136,18-07-10,21:30:00,83.691,62.123
137,18-07-10,21:35:00,83.691,62.309
138,18-07-10,21:40:00,83.199,62.852
139,18-07-10,21:45:00,82.841,63.436
140,18-07-10,21:50:00,82.441,64.199
141,18-07-10,21:55:00,82.175,64.971
142,18-07-10,22:00:00,81.952,65.561
143,18-07-10,22:05:00,81.819,66.128
144,18-07-10,22:10:00,81.73,66.454
145,18-07-10,22:15:00,81.73,66.576
146,18-07-10,22:20:00,81.73,66.606
147,18-07-10,22:25:00,81.642,66.719
148,18-07-10,22:30:00,81.466,66.945
149,18-07-10,22:35:00,81.333,67.417
150,18-07-10,22:40:00,81.288,67.655
151,18-07-10,22:45:00,81.154,68.036
152,18-07-10,22:50:00,80.89,68.583
