Row,Date,Time,Temp,RH
1,18-05-14,1:00:00,75.898,54.861
2,18-05-14,1:05:00,75.853,54.92
3,18-05-14,1:10:00,75.81,54.979
4,18-05-14,1:15:00,75.81,55.073
5,18-05-14,1:20:00,75.81,55.198
6,18-05-14,1:25:00,75.81,55.386
7,18-05-14,1:30:00,75.767,55.351
8,18-05-14,1:35:00,75.767,55.32
9,18-05-14,1:40:00,75.724,55.254
10,18-05-14,1:45:00,75.724,55.316
11,18-05-14,1:50:00,75.724,55.41
12,18-05-14,1:55:00,75.681,55.438
13,18-05-14,2:00:00,75.681,55.5
14,18-05-14,2:05:00,75.637,55.497
15,18-05-14,2:10:00,75.637,55.528
16,18-05-14,2:15:00,75.594,55.556
17,18-05-14,2:20:00,75.594,55.587
18,18-05-14,2:25:00,75.551,55.708
19,18-05-14,2:30:00,75.551,55.771
20,18-05-14,2:35:00,75.551,55.802
21,18-05-14,2:40:00,75.508,55.829
22,18-05-14,2:45:00,75.508,55.798
23,18-05-14,2:50:00,75.463,55.795
24,18-05-14,2:55:00,75.463,55.764
25,18-05-14,3:00:00,75.463,55.764
26,18-05-14,3:05:00,75.463,55.732
27,18-05-14,3:10:00,75.42,55.729
28,18-05-14,3:15:00,75.42,55.729
29,18-05-14,3:20:00,75.42,55.76
30,18-05-14,3:25:00,75.376,55.85
31,18-05-14,3:30:00,75.376,56.037
32,18-05-14,3:35:00,75.376,56.131
33,18-05-14,3:40:00,75.376,56.131
34,18-05-14,3:45:00,75.333,56.158
35,18-05-14,3:50:00,75.333,56.283
36,18-05-14,3:55:00,75.333,56.407
37,18-05-14,4:00:00,75.333,56.407
38,18-05-14,4:05:00,75.29,56.435
39,18-05-14,4:10:00,75.29,56.466
40,18-05-14,4:15:00,75.29,56.528
41,18-05-14,4:20:00,75.29,56.559
42,18-05-14,4:25:00,75.29,56.59
43,18-05-14,4:30:00,75.247,56.618
44,18-05-14,4:35:00,75.247,56.649
45,18-05-14,4:40:00,75.247,56.773
46,18-05-14,4:45:00,75.247,56.929
47,18-05-14,4:50:00,75.204,57.018
48,18-05-14,4:55:00,75.204,56.987
49,18-05-14,5:00:00,75.204,56.956
50,18-05-14,5:05:00,75.204,56.894
51,18-05-14,5:10:00,75.204,56.863
52,18-05-14,5:15:00,75.16,56.921
53,18-05-14,5:20:00,75.16,56.983
54,18-05-14,5:25:00,75.117,57.042
55,18-05-14,5:30:00,75.117,56.98
56,18-05-14,5:35:00,75.117,56.825
57,18-05-14,5:40:00,75.117,56.762
58,18-05-14,5:45:00,75.074,56.79
59,18-05-14,5:50:00,75.074,56.945
60,18-05-14,5:55:00,75.029,57.066
61,18-05-14,6:00:00,75.029,57.159
62,18-05-14,6:05:00,75.029,57.283
63,18-05-14,6:10:00,75.029,57.314
64,18-05-14,6:15:00,75.029,57.252
65,18-05-14,6:20:00,75.029,57.128
66,18-05-14,6:25:00,75.029,56.911
67,18-05-14,6:30:00,74.986,56.752
68,18-05-14,6:35:00,74.986,56.565
69,18-05-14,6:40:00,74.943,56.437
70,18-05-14,6:45:00,74.943,56.282
71,18-05-14,6:50:00,74.943,56.126
72,18-05-14,6:55:00,74.943,56.002
73,18-05-14,7:00:00,74.899,55.874
74,18-05-14,7:05:00,74.899,55.749
75,18-05-14,7:10:00,74.899,55.655
76,18-05-14,7:15:00,74.856,55.527
77,18-05-14,7:20:00,74.856,55.434
78,18-05-14,7:25:00,74.856,55.309
79,18-05-14,7:30:00,74.856,55.215
80,18-05-14,7:35:00,74.856,55.122
81,18-05-14,7:40:00,74.899,55.031
82,18-05-14,7:45:00,74.899,54.938
83,18-05-14,7:50:00,74.943,54.847
84,18-05-14,7:55:00,74.986,54.757
85,18-05-14,8:00:00,75.029,54.635
86,18-05-14,8:05:00,75.029,54.573
87,18-05-14,8:10:00,75.117,54.454
88,18-05-14,8:15:00,75.117,54.361
89,18-05-14,8:20:00,75.204,54.273
90,18-05-14,8:25:00,75.247,54.246
91,18-05-14,8:30:00,75.29,54.218
92,18-05-14,8:35:00,75.333,54.127
93,18-05-14,8:40:00,75.376,54.036
94,18-05-14,8:45:00,75.42,53.914
95,18-05-14,8:50:00,75.463,53.855
96,18-05-14,8:55:00,75.508,54.298
97,18-05-14,9:00:00,75.637,55.653
98,18-05-14,9:05:00,75.853,57.165
99,18-05-14,9:10:00,76.768,61.259
100,18-05-14,9:15:00,78.559,59.721
101,18-05-14,9:20:00,79.216,59.623
102,18-05-14,9:25:00,81.023,56.781
103,18-05-14,9:30:00,83.377,57.195
104,18-05-14,9:35:00,83.199,55.255
105,18-05-14,9:40:00,81.597,58.395
106,18-05-14,9:45:00,81.376,57.688
107,18-05-14,9:50:00,80.757,59.88
108,18-05-14,9:55:00,81.952,58.08
109,18-05-14,10:00:00,81.775,55.71
110,18-05-14,10:05:00,81.819,57.349
111,18-05-14,10:10:00,83.154,56.326
112,18-05-14,10:15:00,82.396,55.349
113,18-05-14,10:20:00,83.021,55.146
114,18-05-14,10:25:00,83.691,54.279
115,18-05-14,10:30:00,83.601,53.7
116,18-05-14,10:35:00,82.931,52.597
117,18-05-14,10:40:00,83.779,51.67
118,18-05-14,10:45:00,85.035,52.181
119,18-05-14,10:50:00,85.307,52.073
120,18-05-14,10:55:00,85.622,51.583
