"Plot Title:  10635577"
"#","Date","Time, GMT-05:00","Temp, °F (LGR S/N: 10635577, SEN S/N: 10635577, LBL:  10635577_T)","RH, % (LGR S/N: 10635577, SEN S/N: 10635577, LBL:  10635577_RH)","DewPt, °F (LGR S/N: 10635577, SEN S/N: 10635577)","Bad Battery (LGR S/N: 10635577, SEN S/N: 10635577)","Coupler Detached (LGR S/N: 10635577, SEN S/N: 10635577)","Good Battery (LGR S/N: 10635577, SEN S/N: 10635577)","Coupler Attached (LGR S/N: 10635577, SEN S/N: 10635577)","Stopped (LGR S/N: 10635577, SEN S/N: 10635577)","End Of File (LGR S/N: 10635577, SEN S/N: 10635577)"
1,02/25/19,20:00:00,51.237,15.562,5.558,Logged,Logged,,,,
2,02/25/19,20:10:00,52.729,33.397,25.250,,,,,,
3,02/25/19,20:20:00,53.602,31.303,24.433,,,Logged,,,
4,02/25/19,20:30:00,53.341,31.810,24.597,,,,,,
5,02/25/19,20:40:00,51.589,35.650,25.833,,,,,,
6,02/25/19,20:50:00,49.516,38.014,25.542,,,,,,
7,02/25/19,21:00:00,48.049,38.685,24.649,,,,,,
8,02/25/19,21:10:00,48.493,38.932,25.201,,,,,,
9,02/25/19,21:20:00,47.959,42.344,26.740,,,,,,
10,02/25/19,21:30:00,48.850,44.112,28.537,,,,,,
11,02/25/19,21:40:00,48.272,44.197,28.056,,,,,,
12,02/25/19,21:50:00,50.709,38.401,26.856,,,,,,
13,02/25/19,22:00:00,51.193,35.884,25.641,,,,,,
14,02/25/19,22:10:00,52.115,33.913,25.083,,,,,,
15,02/25/19,22:20:00,51.940,33.485,24.618,,,,,,
16,02/25/19,22:30:00,50.488,35.461,24.726,,,,,,
17,02/25/19,22:40:00,49.338,40.337,26.816,,,,,,
18,02/25/19,22:50:00,48.717,40.047,26.082,,,,,,
19,02/25/19,23:00:00,48.360,39.962,25.711,,,,,,
20,02/25/19,23:10:00,48.137,41.170,26.226,,,,,,
21,02/25/19,23:20:00,48.094,41.136,26.166,,,,,,
22,02/25/19,23:30:00,47.064,42.814,26.193,,,,,,
23,02/25/19,23:40:00,46.166,47.888,28.053,,,,,,
24,02/25/19,23:50:00,45.127,47.599,26.951,,,,,,
25,02/26/19,00:00:00,45.127,51.410,28.783,,,,,,
26,02/26/19,00:10:00,44.537,54.349,29.556,,,,,,
27,02/26/19,00:20:00,44.310,55.811,29.971,,,,,,
28,02/26/19,00:30:00,44.901,53.725,29.620,,,,,,
29,02/26/19,00:40:00,44.263,56.574,30.250,,,,,,
30,02/26/19,00:50:00,43.443,57.881,30.016,,,,,,
31,02/26/19,01:00:00,46.616,51.286,30.108,,,,,,
32,02/26/19,01:10:00,45.714,52.387,29.779,,,,,,
33,02/26/19,01:20:00,43.900,56.630,29.932,,,,,,
34,02/26/19,01:30:00,43.214,58.941,30.229,,,,,,
35,02/26/19,01:40:00,42.616,61.781,30.769,,,,,,
36,02/26/19,01:50:00,42.892,62.727,31.388,,,,,,
37,02/26/19,02:00:00,42.156,64.228,31.240,,,,,,
38,02/26/19,02:10:00,42.341,64.816,31.627,,,,,,
39,02/26/19,02:20:00,42.433,63.942,31.399,,,,,,
40,02/26/19,02:30:00,42.433,64.825,31.719,,,,,,
41,02/26/19,02:40:00,41.970,66.647,31.924,,,,,,
42,02/26/19,02:50:00,42.663,66.577,32.563,,,,,,
43,02/26/19,03:00:00,42.525,66.845,32.524,,,,,,
44,02/26/19,03:10:00,42.341,66.770,32.322,,,,,,
45,02/26/19,03:20:00,42.109,68.516,32.702,,,,,,
46,02/26/19,03:30:00,41.416,69.532,32.376,,,,,,
47,02/26/19,03:40:00,41.740,70.623,33.049,,,,,,
48,02/26/19,03:50:00,42.064,70.824,33.427,,,,,,
49,02/26/19,04:00:00,42.064,71.627,33.688,,,,,,
50,02/26/19,04:10:00,42.984,70.535,34.219,,,,,,
51,02/26/19,04:20:00,43.443,70.418,34.623,,,,,,
52,02/26/19,04:30:00,44.127,68.476,34.628,,,,,,
53,02/26/19,04:40:00,44.492,64.401,33.530,,,,,,
54,02/26/19,04:50:00,44.764,65.996,34.369,,,,,,
55,02/26/19,05:00:00,44.991,65.450,34.389,,,,,,
56,02/26/19,05:10:00,45.307,61.833,33.345,,,,,,
57,02/26/19,05:20:00,45.262,63.214,33.825,,,,,,
58,02/26/19,05:30:00,46.031,59.546,33.132,,,,,,
59,02/26/19,05:40:00,48.094,51.220,31.449,,,,,,
60,02/26/19,05:50:00,49.028,46.102,29.766,,,,,,
61,02/26/19,06:00:00,49.825,43.276,28.962,,,,,,
62,02/26/19,06:10:00,50.092,42.514,28.773,,,,,,
63,02/26/19,06:20:00,49.870,43.061,28.881,,,,,,
64,02/26/19,06:30:00,49.561,42.792,28.447,,,,,,
65,02/26/19,06:40:00,49.116,43.540,28.465,,,,,,
66,02/26/19,06:50:00,49.561,42.355,28.198,,,,,,
67,02/26/19,07:00:00,50.400,40.654,27.964,,,,,,
68,02/26/19,07:10:00,51.282,37.737,26.944,,,,,,
69,02/26/19,07:20:00,50.664,39.252,27.351,,,,,,
70,02/26/19,07:30:00,50.092,40.100,27.352,,,,,,
71,02/26/19,07:40:00,50.576,38.994,27.111,,,,,,
72,02/26/19,07:50:00,51.282,38.245,27.270,,,,,,
73,02/26/19,08:00:00,51.282,38.181,27.230,,,,,,
74,02/26/19,08:10:00,51.501,37.622,27.066,,,,,,
75,02/26/19,08:20:00,51.282,38.878,27.671,,,,,,
76,02/26/19,08:30:00,50.974,39.776,27.950,,,,,,
77,02/26/19,08:40:00,51.062,40.758,28.623,,,,,,
78,02/26/19,08:50:00,51.062,41.638,29.143,,,,,,
79,02/26/19,09:00:00,53.559,38.379,29.395,,,,,,
