"Plot Title: 10884500"
"#","Date","Time, GMT-05:00","Temp, °F (LGR S/N: 10884500, SEN S/N: 10884500)","RH, % (LGR S/N: 10884500, SEN S/N: 10884500)","DewPt, °F (LGR S/N: 10884500, SEN S/N: 10884500)","Coupler Detached (LGR S/N: 10884500, SEN S/N: 10884500)","Coupler Attached (LGR S/N: 10884500, SEN S/N: 10884500)","Stopped (LGR S/N: 10884500, SEN S/N: 10884500)","End Of File (LGR S/N: 10884500, SEN S/N: 10884500)"
1,02/21/19,20:00:00,69.643,58.948,55.141,Logged,,,
2,02/21/19,20:10:00,69.557,59.063,55.112,,,,
3,02/21/19,20:20:00,69.514,59.121,55.096,,,,
4,02/21/19,20:30:00,69.471,59.239,55.108,,,,
5,02/21/19,20:40:00,69.471,59.330,55.150,,,,
6,02/21/19,20:50:00,69.427,59.388,55.135,,,,
7,02/21/19,21:00:00,69.386,59.445,55.121,,,,
8,02/21/19,21:10:00,69.343,59.624,55.161,,,,
9,02/21/19,21:20:00,69.343,59.715,55.200,,,,
10,02/21/19,21:30:00,69.300,59.803,55.198,,,,
11,02/21/19,21:40:00,69.300,59.894,55.240,,,,
12,02/21/19,21:50:00,69.256,59.982,55.238,,,,
13,02/21/19,22:00:00,69.256,60.073,55.278,,,,
14,02/21/19,22:10:00,69.256,60.134,55.305,,,,
15,02/21/19,22:20:00,69.256,60.195,55.332,,,,
16,02/21/19,22:30:00,69.256,60.256,55.359,,,,
17,02/21/19,22:40:00,69.256,60.316,55.386,,,,
18,02/21/19,22:50:00,69.256,60.377,55.413,,,,
19,02/21/19,23:00:00,69.213,60.434,55.396,,,,
20,02/21/19,23:10:00,69.170,60.491,55.380,,,,
21,02/21/19,23:20:00,69.170,60.552,55.407,,,,
22,02/21/19,23:30:00,69.129,60.609,55.391,,,,
23,02/21/19,23:40:00,69.085,60.665,55.377,,,,
24,02/21/19,23:50:00,69.042,60.783,55.387,,,,
25,02/22/19,00:00:00,68.999,60.870,55.384,,,,
26,02/22/19,00:10:00,68.999,60.900,55.398,,,,
27,02/22/19,00:20:00,69.085,60.847,55.456,,,,
28,02/22/19,00:30:00,69.256,60.741,55.571,,,,
29,02/22/19,00:40:00,69.343,60.628,55.603,,,,
30,02/22/19,00:50:00,69.427,60.483,55.620,,,,
31,02/22/19,01:00:00,69.514,60.370,55.652,,,,
32,02/22/19,01:10:00,69.600,60.256,55.683,,,,
33,02/22/19,01:20:00,69.685,60.111,55.699,,,,
34,02/22/19,01:30:00,69.728,60.023,55.701,,,,
35,02/22/19,01:40:00,69.771,59.936,55.702,,,,
36,02/22/19,01:50:00,69.814,59.848,55.704,,,,
37,02/22/19,02:00:00,69.858,59.761,55.706,,,,
38,02/22/19,02:10:00,69.901,59.673,55.708,,,,
