"Plot Title:  10884524"
"#","Date","Time, GMT-05:00","Temp, °F (LGR S/N: 10884524, SEN S/N: 10884524)","RH, % (LGR S/N: 10884524, SEN S/N: 10884524)","DewPt, °F (LGR S/N: 10884524, SEN S/N: 10884524)","Coupler Detached (LGR S/N: 10884524, SEN S/N: 10884524)","Bad Battery (LGR S/N: 10884524, SEN S/N: 10884524)","Coupler Attached (LGR S/N: 10884524, SEN S/N: 10884524)","Stopped (LGR S/N: 10884524, SEN S/N: 10884524)","End Of File (LGR S/N: 10884524, SEN S/N: 10884524)"
1,02/22/19,20:00:00,66.173,68.388,55.755,Logged,,,,
2,02/22/19,20:10:00,66.173,68.036,55.620,,,,,
3,02/22/19,20:20:00,66.173,67.742,55.506,,,,,
4,02/22/19,20:30:00,66.173,67.477,55.404,,,,,
5,02/22/19,20:40:00,66.173,67.182,55.290,,,,,
6,02/22/19,20:50:00,66.173,67.034,55.233,,,,,
7,02/22/19,21:00:00,66.173,66.857,55.164,,,,,
8,02/22/19,21:10:00,66.173,66.591,55.060,,,,,
9,02/22/19,21:20:00,66.600,67.136,55.681,,,,,
10,02/22/19,21:30:00,67.242,66.401,56.007,,,,,
11,02/22/19,21:40:00,67.500,65.148,55.753,,,,,
12,02/22/19,21:50:00,67.500,64.492,55.486,,,,,
13,02/22/19,22:00:00,67.372,63.793,55.078,,,,,
14,02/22/19,22:10:00,67.158,63.264,54.657,,,,,
15,02/22/19,22:20:00,66.985,62.948,54.363,,,,,
16,02/22/19,22:30:00,66.814,62.752,54.118,,,,,
17,02/22/19,22:40:00,66.686,62.620,53.942,,,,,
18,02/22/19,22:50:00,66.515,62.544,53.748,,,,,
19,02/22/19,23:00:00,66.429,62.476,53.638,,,,,
20,02/22/19,23:10:00,66.258,62.221,53.368,,,,,
21,02/22/19,23:20:00,66.258,62.760,53.595,,,,,
22,02/22/19,23:30:00,66.515,63.204,54.021,,,,,
23,02/22/19,23:40:00,66.643,62.796,53.974,,,,,
24,02/22/19,23:50:00,66.686,62.440,53.866,,,,,
25,02/23/19,00:00:00,66.686,62.200,53.766,,,,,
26,02/23/19,00:10:00,66.686,62.049,53.701,,,,,
27,02/23/19,00:20:00,66.686,61.989,53.676,,,,,
28,02/23/19,00:30:00,66.686,61.989,53.676,,,,,
29,02/23/19,00:40:00,66.729,61.963,53.706,,,,,
30,02/23/19,00:50:00,66.686,61.839,53.613,,,,,
31,02/23/19,01:00:00,66.600,61.681,53.465,,,,,
