"Plot Title:  10884524"
"#","Date","Time, GMT-05:00","Temp, °F (LGR S/N: 10884524, SEN S/N: 10884524)","RH, % (LGR S/N: 10884524, SEN S/N: 10884524)","DewPt, °F (LGR S/N: 10884524, SEN S/N: 10884524)","Coupler Detached (LGR S/N: 10884524, SEN S/N: 10884524)","Coupler Attached (LGR S/N: 10884524, SEN S/N: 10884524)","Stopped (LGR S/N: 10884524, SEN S/N: 10884524)","End Of File (LGR S/N: 10884524, SEN S/N: 10884524)"
1,02/20/19,04:06:55,49.604,61.714,37.375,Logged,,,
2,02/20/19,04:16:55,49.692,62.218,37.656,,,,
3,02/20/19,04:26:55,49.649,62.417,37.692,,,,
4,02/20/19,04:36:55,49.471,63.127,37.796,,,,
5,02/20/19,04:46:55,49.516,63.450,37.962,,,,
6,02/20/19,04:56:55,49.649,63.260,38.016,,,,
7,02/20/19,05:06:55,49.471,63.561,37.963,,,,
8,02/20/19,05:16:55,49.914,63.256,38.268,,,,
9,02/20/19,05:26:55,49.825,63.161,38.147,,,,
10,02/20/19,05:36:55,49.782,63.243,38.136,,,,
11,02/20/19,05:46:55,49.870,63.484,38.313,,,,
12,02/20/19,05:56:55,50.533,63.489,38.944,,,,
13,02/20/19,06:06:55,51.062,63.366,39.402,,,,
14,02/20/19,06:16:55,51.282,63.532,39.673,,,,
15,02/20/19,06:26:55,52.203,63.650,40.597,,,,
16,02/20/19,06:36:55,54.909,61.768,42.426,,,,
17,02/20/19,06:46:55,56.122,59.807,42.771,,,,
18,02/20/19,06:56:55,56.642,58.601,42.750,,,,
19,02/20/19,07:06:55,56.772,58.283,42.737,,,,
20,02/20/19,07:16:55,57.333,58.302,43.273,,,,
21,02/20/19,07:26:55,59.142,57.979,44.836,,,,
22,02/20/19,07:36:55,59.916,56.838,45.057,,,,
23,02/20/19,07:46:55,60.775,56.426,45.676,,,,
24,02/20/19,07:56:55,61.248,55.553,45.720,,,,
25,02/20/19,08:06:55,62.105,55.898,46.681,,,,
26,02/20/19,08:16:55,62.533,55.110,46.717,,,,
27,02/20/19,08:26:55,63.176,54.059,46.819,,,,
28,02/20/19,08:36:55,63.518,53.409,46.827,,,,
29,02/20/19,08:46:55,64.546,52.347,47.260,,,,
30,02/20/19,08:56:55,64.375,51.745,46.801,,,,
31,02/20/19,09:06:55,65.658,50.535,47.374,,,,
32,02/20/19,09:16:55,66.686,48.983,47.505,,,,
33,02/20/19,09:26:55,67.714,47.100,47.421,,,,
34,02/20/19,09:36:55,66.729,46.240,46.036,,,,
35,02/20/19,09:46:55,67.158,46.491,46.569,,,,
36,02/20/19,09:56:55,67.413,46.382,46.742,,,,
37,02/20/19,10:06:55,67.842,45.490,46.623,,,,
38,02/20/19,10:16:55,68.828,44.759,47.093,,,,
39,02/20/19,10:26:55,69.213,43.342,46.594,,,,
40,02/20/19,10:36:55,69.600,43.013,46.744,,,,
41,02/20/19,10:46:55,69.643,43.402,47.019,,,,
42,02/20/19,10:56:55,69.901,41.807,46.261,,,,
43,02/20/19,11:06:55,70.201,41.503,46.339,,,,
44,02/20/19,11:16:55,71.361,40.601,46.800,,,,
45,02/20/19,11:26:55,70.201,40.985,46.008,,,,
46,02/20/19,11:36:55,71.704,41.401,47.629,,,,
47,02/20/19,11:46:55,70.846,40.699,46.402,,,,
48,02/20/19,11:56:55,71.190,40.590,46.639,,,,
49,02/20/19,12:06:55,71.146,39.840,46.105,,,,
50,02/20/19,12:16:55,71.964,39.693,46.738,,,,
51,02/20/19,12:26:55,72.307,39.289,46.773,,,,
