"Plot Title:  11002414"
"#","Date","Time, GMT-05:00","Temp, °F (LGR S/N: 11002414, SEN S/N: 11002414)","RH, % (LGR S/N: 11002414, SEN S/N: 11002414)","DewPt, °F (LGR S/N: 11002414, SEN S/N: 11002414)","Coupler Detached (LGR S/N: 11002414, SEN S/N: 11002414)","Coupler Attached (LGR S/N: 11002414, SEN S/N: 11002414)","Stopped (LGR S/N: 11002414, SEN S/N: 11002414)","End Of File (LGR S/N: 11002414, SEN S/N: 11002414)"
1,02/25/19,20:00:00,50.709,34.320,24.130,Logged,,,
2,02/25/19,20:10:00,52.378,34.281,25.578,,,,
3,02/25/19,20:20:00,52.903,32.436,24.690,,,,
4,02/25/19,20:30:00,52.817,34.111,25.844,,,,
5,02/25/19,20:40:00,51.589,35.970,26.051,,,,
6,02/25/19,20:50:00,49.825,38.633,26.211,,,,
7,02/25/19,21:00:00,48.850,39.709,25.997,,,,
8,02/25/19,21:10:00,48.405,41.656,26.749,,,,
9,02/25/19,21:20:00,48.315,43.518,27.723,,,,
10,02/25/19,21:30:00,49.161,42.890,28.141,,,,
11,02/25/19,21:40:00,48.583,44.682,28.603,,,,
12,02/25/19,21:50:00,49.914,40.184,27.244,,,,
13,02/25/19,22:00:00,49.516,39.782,26.641,,,,
14,02/25/19,22:10:00,52.423,34.058,25.457,,,,
15,02/25/19,22:20:00,51.678,33.922,24.701,,,,
16,02/25/19,22:30:00,50.445,37.243,25.876,,,,
17,02/25/19,22:40:00,50.047,40.003,27.253,,,,
18,02/25/19,22:50:00,48.450,40.752,26.262,,,,
19,02/25/19,23:00:00,48.049,41.071,26.087,,,,
20,02/25/19,23:10:00,49.294,42.025,27.768,,,,
21,02/25/19,23:20:00,47.512,43.092,26.757,,,,
22,02/25/19,23:30:00,47.826,44.939,28.051,,,,
23,02/25/19,23:40:00,46.301,48.780,28.618,,,,
24,02/25/19,23:50:00,45.444,51.675,29.201,,,,
25,02/26/19,00:00:00,45.579,53.423,30.121,,,,
26,02/26/19,00:10:00,44.719,54.543,29.809,,,,
27,02/26/19,00:20:00,45.172,54.818,30.353,,,,
28,02/26/19,00:30:00,44.991,54.595,30.087,,,,
29,02/26/19,00:40:00,45.036,55.310,30.439,,,,
30,02/26/19,00:50:00,44.355,56.228,30.191,,,,
31,02/26/19,01:00:00,46.751,49.361,29.316,,,,
32,02/26/19,01:10:00,45.307,53.371,29.844,,,,
33,02/26/19,01:20:00,44.173,56.919,30.308,,,,
34,02/26/19,01:30:00,43.122,59.398,30.324,,,,
35,02/26/19,01:40:00,43.122,61.050,30.969,,,,
36,02/26/19,01:50:00,42.984,62.478,31.381,,,,
37,02/26/19,02:00:00,42.247,63.295,30.985,,,,
38,02/26/19,02:10:00,42.433,64.284,31.523,,,,
39,02/26/19,02:20:00,42.616,64.928,31.933,,,,
40,02/26/19,02:30:00,42.708,65.080,32.076,,,,
41,02/26/19,02:40:00,43.167,65.466,32.653,,,,
42,02/26/19,02:50:00,43.075,65.883,32.713,,,,
43,02/26/19,03:00:00,43.167,65.864,32.794,,,,
44,02/26/19,03:10:00,42.433,65.393,31.923,,,,
45,02/26/19,03:20:00,42.247,67.689,32.553,,,,
46,02/26/19,03:30:00,41.787,68.874,32.511,,,,
47,02/26/19,03:40:00,41.787,69.376,32.680,,,,
48,02/26/19,03:50:00,42.156,70.279,33.337,,,,
49,02/26/19,04:00:00,42.433,69.947,33.494,,,,
50,02/26/19,04:10:00,43.443,69.245,34.230,,,,
51,02/26/19,04:20:00,43.716,68.910,34.381,,,,
52,02/26/19,04:30:00,44.809,67.305,34.876,,,,
53,02/26/19,04:40:00,44.400,67.094,34.410,,,,
54,02/26/19,04:50:00,44.991,66.445,34.747,,,,
55,02/26/19,05:00:00,44.901,66.237,34.585,,,,
56,02/26/19,05:10:00,45.307,65.538,34.725,,,,
57,02/26/19,05:20:00,46.346,61.293,34.120,,,,
58,02/26/19,05:30:00,45.941,59.771,33.136,,,,
59,02/26/19,05:40:00,48.272,51.113,31.564,,,,
60,02/26/19,05:50:00,48.538,48.398,30.493,,,,
61,02/26/19,06:00:00,49.649,44.724,29.599,,,,
62,02/26/19,06:10:00,49.338,45.353,29.655,,,,
63,02/26/19,06:20:00,49.692,43.236,28.819,,,,
64,02/26/19,06:30:00,49.471,43.564,28.801,,,,
65,02/26/19,06:40:00,49.428,43.001,28.445,,,,
66,02/26/19,06:50:00,49.383,43.465,28.665,,,,
67,02/26/19,07:00:00,50.311,40.806,27.975,,,,
68,02/26/19,07:10:00,51.105,38.329,27.167,,,,
69,02/26/19,07:20:00,50.797,38.913,27.257,,,,
70,02/26/19,07:30:00,50.092,40.572,27.637,,,,
71,02/26/19,07:40:00,50.929,38.414,27.063,,,,
72,02/26/19,07:50:00,51.062,39.371,27.779,,,,
73,02/26/19,08:00:00,51.148,39.250,27.784,,,,
74,02/26/19,08:10:00,51.237,39.824,28.216,,,,
75,02/26/19,08:20:00,51.325,40.145,28.492,,,,
76,02/26/19,08:30:00,50.929,41.849,29.147,,,,
77,02/26/19,08:40:00,51.062,41.983,29.345,,,,
78,02/26/19,08:50:00,51.062,41.575,29.107,,,,
79,02/26/19,09:00:00,53.253,39.884,30.069,,,,
80,02/26/19,09:10:00,53.253,38.996,29.514,,,,
81,02/26/19,09:20:00,53.602,36.402,28.134,,,,
82,02/26/19,09:30:00,55.690,35.877,29.629,,,,
83,02/26/19,09:40:00,56.340,34.039,28.900,,,,
84,02/26/19,09:50:00,56.685,33.928,29.125,,,,
85,02/26/19,10:00:00,56.988,35.335,30.403,,,,
86,02/26/19,10:10:00,57.376,34.807,30.373,,,,
87,02/26/19,10:20:00,57.936,33.701,30.061,,,,
88,02/26/19,10:30:00,58.626,35.133,31.712,,,,
89,02/26/19,10:40:00,58.798,34.039,31.069,,,,
90,02/26/19,10:50:00,58.455,34.021,30.753,,,,
91,02/26/19,11:00:00,59.315,35.559,32.625,,,,
92,02/26/19,11:10:00,60.046,37.603,34.684,,,,
93,02/26/19,11:20:00,60.390,40.128,36.639,,,,
94,02/26/19,11:30:00,60.517,39.463,36.331,,,,
95,02/26/19,11:40:00,61.804,38.994,37.179,,,,
96,02/26/19,11:50:00,61.376,39.836,37.339,,,,
97,02/26/19,12:00:00,63.819,40.883,40.199,,,,
98,02/26/19,12:10:00,63.862,40.114,39.749,,,,
99,02/26/19,12:20:00,63.433,43.828,41.644,,,,
100,02/26/19,12:30:00,63.475,43.672,41.590,,,,
101,02/26/19,12:40:00,65.530,45.302,44.407,,,,
102,02/26/19,12:50:00,65.872,43.765,43.821,,,,
103,02/26/19,13:00:00,64.632,43.748,42.685,,,,
104,02/26/19,13:10:00,66.857,42.838,44.154,,,,
105,02/26/19,13:20:00,64.717,47.300,44.787,,,,
106,02/26/19,13:30:00,65.316,46.016,44.620,,,,
107,02/26/19,13:40:00,66.943,47.046,46.684,,,,
108,02/26/19,13:50:00,66.344,46.878,46.042,,,,
109,02/26/19,14:00:00,65.745,46.583,45.329,,,,
110,02/26/19,14:10:00,66.087,47.018,45.885,,,,
111,02/26/19,14:20:00,64.888,50.228,46.503,,,,
112,02/26/19,14:30:00,66.043,52.122,48.537,,,,
113,02/26/19,14:40:00,65.658,50.317,47.260,,,,
114,02/26/19,14:50:00,65.273,52.155,47.840,,,,
115,02/26/19,15:00:00,65.916,51.116,47.908,,,,
116,02/26/19,15:10:00,65.403,52.134,47.948,,,,
117,02/26/19,15:20:00,64.803,52.491,47.570,,,,
118,02/26/19,15:30:00,65.487,52.172,48.045,,,,
119,02/26/19,15:40:00,64.632,53.034,47.678,,,,
120,02/26/19,15:50:00,64.375,53.570,47.700,,,,
121,02/26/19,16:00:00,65.145,54.340,48.789,,,,
122,02/26/19,16:10:00,65.959,53.293,49.039,,,,
123,02/26/19,16:20:00,65.145,55.170,49.183,,,,
124,02/26/19,16:30:00,64.375,55.076,48.420,,,,
125,02/26/19,16:40:00,64.546,55.244,48.659,,,,
126,02/26/19,16:50:00,64.288,56.355,48.934,,,,
127,02/26/19,17:00:00,64.074,56.337,48.727,,,,
128,02/26/19,17:10:00,64.760,55.507,48.981,,,,
129,02/26/19,17:20:00,65.188,54.312,48.816,,,,
130,02/26/19,17:30:00,64.288,55.407,48.495,,,,
131,02/26/19,17:40:00,63.689,56.000,48.211,,,,
132,02/26/19,17:50:00,63.862,55.096,47.950,,,,
133,02/26/19,18:00:00,63.005,55.912,47.529,,,,
134,02/26/19,18:10:00,62.919,55.600,47.304,,,,
135,02/26/19,18:20:00,62.620,56.337,47.363,,,,
136,02/26/19,18:30:00,62.620,55.911,47.169,,,,
137,02/26/19,18:40:00,61.848,56.759,46.832,,,,
138,02/26/19,18:50:00,61.891,56.823,46.902,,,,
139,02/26/19,19:00:00,62.233,56.335,47.001,,,,
140,02/26/19,19:10:00,62.233,56.883,47.250,,,,
141,02/26/19,19:20:00,61.977,57.346,47.217,,,,
142,02/26/19,19:30:00,61.720,57.900,47.223,,,,
143,02/26/19,19:40:00,62.148,56.875,47.167,,,,
144,02/26/19,19:50:00,61.547,57.885,47.053,,,,
145,02/26/19,20:00:00,61.633,57.469,46.951,,,,
146,02/26/19,20:10:00,61.419,57.692,46.848,,,,
147,02/26/19,20:20:00,61.119,58.451,46.900,,,,
148,02/26/19,20:30:00,60.948,58.617,46.810,,,,
149,02/26/19,20:40:00,60.904,58.764,46.836,,,,
150,02/26/19,20:50:00,60.517,59.031,46.587,,,,
151,02/26/19,21:00:00,60.690,58.926,46.702,,,,
152,02/26/19,21:10:00,60.474,59.418,46.713,,,,
153,02/26/19,21:20:00,59.873,60.083,46.429,,,,
154,02/26/19,21:30:00,59.788,60.046,46.332,,,,
155,02/26/19,21:40:00,60.390,59.680,46.744,,,,
156,02/26/19,21:50:00,60.604,59.729,46.967,,,,
157,02/26/19,22:00:00,60.303,60.122,46.850,,,,
158,02/26/19,22:10:00,60.604,60.029,47.095,,,,
159,02/26/19,22:20:00,60.647,60.122,47.176,,,,
160,02/26/19,22:30:00,60.604,60.478,47.286,,,,
161,02/26/19,22:40:00,60.433,61.000,47.341,,,,
162,02/26/19,22:50:00,60.346,61.231,47.356,,,,
163,02/26/19,23:00:00,60.132,61.420,47.232,,,,
164,02/26/19,23:10:00,60.517,61.157,47.489,,,,
165,02/26/19,23:20:00,60.517,61.574,47.662,,,,
166,02/26/19,23:30:00,60.604,61.850,47.856,,,,
167,02/26/19,23:40:00,60.003,62.774,47.664,,,,
168,02/26/19,23:50:00,60.174,63.086,47.953,,,,
169,02/27/19,00:00:00,60.217,63.564,48.186,,,,
170,02/27/19,00:10:00,60.346,63.664,48.349,,,,
171,02/27/19,00:20:00,60.132,64.440,48.452,,,,
172,02/27/19,00:30:00,60.003,65.193,48.625,,,,
173,02/27/19,00:40:00,59.616,65.800,48.490,,,,
174,02/27/19,00:50:00,59.486,66.518,48.641,,,,
175,02/27/19,01:00:00,59.401,67.529,48.942,,,,
176,02/27/19,01:10:00,59.229,68.180,49.017,,,,
177,02/27/19,01:20:00,59.358,68.598,49.296,,,,
178,02/27/19,01:30:00,59.229,69.337,49.442,,,,
179,02/27/19,01:40:00,59.272,70.378,49.860,,,,
180,02/27/19,01:50:00,59.315,70.900,50.088,,,,
181,02/27/19,02:00:00,59.229,71.493,50.214,,,,
182,02/27/19,02:10:00,59.142,71.941,50.288,,,,
