longitude,latitude,point_id,distance_to_building_m,distance_to_park_m,distance_to_library_m,distance_to_parking_m,distance_to_footway_m,distance_to_grass_m,distance_to_fitness_centre_m,distance_to_wood_m,distance_to_wetland_m
-84.40079901,33.76877617,0,422.0146736,681.5881623,746.04026,409.809199,316.967363,628.8090457,897.9819489,968.1199316,1373.55916
-84.40241726,33.76881026,1,427.5423396,814.3239661,840.2787672,409.8484,416.7839302,724.6812734,1046.125872,962.3242278,1406.080369
-84.40187784,33.7687989,2,420.2302869,769.374089,806.9929538,404.1625367,379.862255,706.1508193,996.6828749,975.1380116,1393.531338
-84.40133843,33.76878754,3,418.1446393,725.0858266,775.5042544,403.9126983,346.2395428,672.4994838,947.2983516,970.3479643,1382.67754
-84.40186424,33.7692494,4,370.5209613,748.1807654,769.6140781,354.2901583,346.3932949,663.9181407,989.9792897,925.5264653,1344.972528
-84.40132482,33.76923804,5,368.1538103,702.5577733,736.5290559,354.0051242,309.1517475,637.6840267,940.3312514,920.4782823,1333.723617
-84.39972018,33.76875343,6,446.7653471,597.6523715,694.2006278,438.7935768,276.8416256,543.9097616,799.6039069,971.4001556,1360.661583
-84.39918077,33.76874206,7,424.0524709,557.6749271,672.3717221,414.7974873,268.7522537,503.5437768,750.5756602,976.8824353,1356.933134
-84.40025959,33.7687648,8,431.6802405,639.0425573,718.8499778,421.5942259,293.3509799,585.7638793,848.7455415,968.4715959,1366.210948
-84.4007854,33.76922667,9,372.5435188,657.5715869,705.4390628,360.7183662,275.9733524,602.3961027,890.7225891,918.1292384,1324.268204
-84.39970656,33.76920393,10,400.3642892,570.1108016,650.3712119,392.4403665,228.7668414,517.1723054,791.6233068,921.5874124,1310.885751
-84.39916715,33.76919256,11,387.3083894,528.0523584,627.0182887,388.0492864,218.9080993,474.5373535,742.067971,927.3642159,1307.015317
-84.39864135,33.76873068,12,393.5222105,519.4365133,653.6458932,375.110036,269.8411794,465.05359,701.6845697,984.8757905,1355.040633
-84.39810194,33.7687193,13,367.2859406,483.3500372,638.2963064,338.1687785,280.0013399,428.9444579,652.9614453,995.3197239,1354.991773
-84.39756252,33.76870792,14,344.3400818,449.933579,626.5164695,304.973288,283.7736028,395.8684811,604.4469065,1008.138077,1356.786753
-84.39702311,33.76869654,15,326.7057242,419.825193,613.215556,276.8741411,284.3635613,366.6474612,556.195538,1023.24162,1360.331509
-84.3975489,33.76915842,16,299.6015736,412.647785,577.6327531,267.4584072,233.7784232,358.2474273,593.849404,960.2330339,1306.863345
-84.39808831,33.7691698,17,324.1700981,448.8487801,590.3307348,304.7678066,231.552854,394.4904469,643.1638213,946.7663118,1304.999699
-84.39862773,33.76918118,18,353.6198814,487.495908,606.8946823,345.3010749,220.2436019,433.4791879,692.576557,935.7806468,1305.050431
-84.39700948,33.76914704,19,279.1552278,379.5934161,564.6493038,234.9139911,234.3661777,325.6681218,544.6600117,976.0781267,1310.502245
-84.39807469,33.7696203,20,283.3258599,417.4963428,542.7325106,276.421253,182.1798767,363.6647873,636.6146786,898.3716077,1255.008256
-84.39699585,33.76959753,21,232.6341594,341.9490174,516.3568092,196.7482564,184.3687941,287.5571079,537.2206116,929.2112816,1260.686501
-84.39753527,33.76960892,22,255.5636416,378.3069698,528.892994,234.6471665,183.7832436,323.9916417,586.8919128,912.5527797,1256.946026
-84.39806106,33.77007079,23,245.8878469,390.0527723,495.6074855,254.8215107,132.5221145,337.4632458,633.5222379,850.162715,1205.017524
-84.39860048,33.77008217,24,283.5870259,433.967969,515.2257357,293.9170363,122.0377329,382.3126154,683.5104664,837.9114582,1205.072464
-84.39698222,33.77004803,25,187.9086562,307.8426536,468.4227497,165.0308141,134.3714106,253.610834,533.552399,882.6883381,1210.885946
-84.39752164,33.77005941,26,213.3074431,347.7846062,480.4123237,208.769217,133.788064,294.2786922,583.5360265,865.1344821,1207.035551
-84.39804743,33.77052129,27,213.6542151,367.3950655,449.1046441,223.2098686,82.86435227,314.0249534,634.3678766,802.1731349,1155.027593
-84.39858686,33.77053267,28,256.1423269,413.7223309,470.6652317,260.6232317,74.47943896,352.3983984,684.2943333,789.1772349,1155.084912
-84.40024598,33.7692153,29,383.4581056,613.3623391,676.6191634,374.0532735,248.4910048,561.024676,841.1602695,918.5000427,1316.644927
-84.39915353,33.76964305,30,353.8291662,501.6744583,582.4260777,364.6255656,169.1559576,449.2383161,736.1728822,877.9006124,1257.104032
-84.39861411,33.76963168,31,316.5980273,458.7921416,560.7043401,320.5590827,170.8807368,405.6273796,686.3777245,886.7866234,1255.061009
-84.40023237,33.7696658,32,335.7564705,590.80566,635.5168715,327.2461025,206.0115568,532.4533532,835.8365725,868.5317639,1267.113007
-84.39969295,33.76965443,33,354.9420414,545.7694523,607.495609,345.8473255,181.7340082,492.8829613,785.9940484,871.7961086,1261.127654
-84.40021875,33.77011629,34,288.8333363,571.7423343,595.7767162,281.5389346,167.7311646,502.6179409,833.4836248,818.567359,1217.61935
-84.39967933,33.77010492,35,310.9278719,525.0735795,565.7907004,300.3519665,136.8218981,462.7440785,783.4914301,822.0301402,1211.389479
-84.39913991,33.77009355,36,324.6265073,479.0774791,538.784129,324.5308413,119.610702,422.5625662,733.5002995,828.5014071,1207.20009
-84.40074456,33.77057816,37,225.5338988,604.9085044,592.3249752,215.9634694,182.3190538,483.641905,884.0832887,768.1644274,1176.754351
-84.39966571,33.77055542,38,269.0138104,508.4685171,525.5352684,256.1827945,97.0217184,436.2688973,784.1753617,772.2944049,1161.673783
-84.40185063,33.7696999,39,320.9019655,729.8030054,733.7397569,304.4552446,317.3031623,618.2515194,985.4598779,875.959094,1296.523277
-84.40077179,33.76967717,40,323.2351499,636.5833495,666.1174618,311.916495,238.4413414,569.7656152,885.6968486,868.1396171,1275.032464
-84.40131121,33.76968853,41,318.1658636,682.9534345,698.9586911,304.1279141,276.1662272,594.7934397,935.5720385,870.6235493,1284.850262
-84.4012976,33.77013903,42,268.1824108,666.5308415,663.0320155,254.2989348,248.9191979,553.0981414,933.4705224,820.7864893,1236.067031
